,fname,lname,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
1049,Tom,Henderson,650,9.4,2.3,4.8,43.3,0.0,73.9,43.3,12.8,22.1
1050,Mark,Hendrickson,114,3.3,2.8,0.6,41.6,16.7,80.3,42.1,10.6,2.1
1051,Carl,Henry,28,2.8,0.7,0.1,46.3,40.0,70.6,49.3,12.5,0.2
1052,Conner,Henry,93,3.3,0.9,1.1,37.8,37.9,75.7,43.5,9.7,0.1
1053,Myke,Henry,20,5.4,1.9,1.1,37.6,32.8,60.0,46.3,9.7,0.1
1054,Skeeter,Henry,4,1.0,0.5,1.0,20.0,0.0,50.0,20.0,5.6,0.0
1055,Xavier,Henry,185,5.7,1.9,0.6,40.6,32.5,63.5,42.8,9.3,0.8
1056,Steve,Henson,238,3.1,0.7,2.0,40.3,43.2,86.9,48.6,11.5,3.8
1057,Chris,Herren,70,3.2,1.0,2.4,33.6,32.8,69.2,42.7,7.8,0.5
1058,Carl,Herrera,465,5.3,3.6,0.6,47.6,14.3,64.3,47.6,10.5,9.0
1059,Walter,Herrmann,152,5.4,2.1,0.4,45.8,38.1,78.6,54.2,14.0,4.1
1060,Keith,Herron,124,9.8,2.0,1.4,43.8,16.7,85.8,43.9,12.6,3.2
1061,Art,Heyman,310,13.0,4.7,2.8,42.7,28.1,70.3,43.8,16.0,19.3
1062,Roy,Hibbert,662,10.0,6.3,1.3,46.5,25.0,75.5,46.5,15.5,35.9
1063,Isaiah,Hicks,21,4.4,2.3,0.9,46.3,22.2,69.6,47.5,8.0,0.1
1064,JJ,Hickson,534,9.5,6.8,0.8,50.5,0.0,61.7,50.5,16.1,21.9
1065,Cory,Higgins,44,3.7,0.9,0.9,32.4,20.0,69.4,33.8,4.7,-1.3
1066,Mike,Higgins,18,1.7,0.5,0.3,50.0,-,70.6,50.0,7.2,0.2
1067,Rod,Higgins,779,9.0,3.6,1.6,46.5,34.2,80.8,49.8,13.5,37.8
1068,Sean,Higgins,220,6.3,1.8,1.0,42.8,32.1,85.0,46.4,9.5,0.4
1069,Kenny,Higgs,216,6.8,1.8,4.4,44.1,14.5,80.4,44.4,11.6,4.6
1070,Johnny,High,274,5.1,2.3,1.9,43.5,10.5,61.9,43.7,9.4,4.7
1071,Haywood,Highsmith,5,1.8,1.0,0.4,40.0,20.0,0.0,45.0,4.5,0.0
1072,Wayne,Hightower,565,11.6,7.0,1.7,38.1,0.0,75.2,38.1,13.1,18.8
1073,Armond,Hill,468,6.9,2.0,4.7,40.8,7.7,82.9,40.8,10.2,11.3
1074,Grant,Hill,1026,16.7,6.0,4.1,48.3,31.4,76.9,49.2,19.0,99.9
1075,Jordan,Hill,409,7.9,5.8,0.8,49.7,13.6,69.9,49.7,16.3,16.4
1076,Steven,Hill,1,2.0,3.0,0.0,100.0,-,-,100.0,88.3,0.0
1077,Tyrone,Hill,801,9.4,8.6,0.8,50.2,0.0,64.3,50.2,14.0,56.2
1078,Darrun,Hilliard,91,3.2,0.9,0.8,37.7,30.4,74.7,43.3,7.7,0.3
1079,Darnell,Hillman,682,9.8,7.6,1.4,47.7,16.7,62.8,47.7,13.4,31.1
1080,Kirk,Hinrich,879,10.9,2.9,4.8,41.1,37.5,80.0,48.0,12.8,52.5
1081,Roy,Hinson,507,14.2,6.8,1.0,49.9,0.0,74.1,49.9,14.7,30.2
1082,Robert,Hite,12,4.3,1.3,0.7,31.7,21.7,66.7,35.8,7.4,-0.2
1083,Darington,Hobson,5,0.8,0.6,1.2,15.4,0.0,-,15.4,-3.3,-0.2
1084,Donald,Hodge,249,4.7,3.2,0.8,43.7,28.6,71.1,43.9,10.5,1.8
1085,Julius,Hodge,23,1.2,0.7,0.8,44.0,-,50.0,44.0,10.7,0.0
1086,Craig,Hodges,695,8.5,1.3,2.5,46.1,40.0,82.8,51.6,11.8,27.2
1087,Bob,Hogsett,20,1.9,1.3,0.1,33.3,-,56.5,33.3,5.3,0.0
1088,Fred,Hoiberg,541,5.4,2.7,1.6,43.1,39.6,85.4,51.4,13.7,27.6
1089,Randy,Holcomb,4,0.5,0.3,0.0,100.0,-,-,100.0,8.2,0.0
1090,Brad,Holland,93,3.2,0.6,0.7,40.3,19.0,74.6,41.0,10.2,0.4
1091,Lionel,Hollins,673,11.6,2.4,4.5,44.4,14.9,74.1,44.5,13.0,22.9
1092,Ryan,Hollins,518,3.7,2.2,0.3,58.4,0.0,64.9,58.4,11.0,10.4
1093,Michael,Holton,325,6.2,1.4,3.0,44.1,25.7,80.7,44.9,10.5,4.8
1094,Jerald,Honeycutt,54,5.1,1.9,0.7,39.1,36.2,63.2,45.8,10.6,0.3
1095,Tyler,Honeycutt,24,1.2,1.0,0.4,31.4,20.0,71.4,32.9,8.1,-0.1
1096,Derek,Hood,2,0.0,0.5,0.0,0.0,-,-,0.0,-24.2,-0.1
1097,Tom,Hoover,223,5.9,6.2,1.1,44.7,33.3,62.6,44.8,10.2,7.6
1098,Dave,Hoppen,169,5.0,3.8,0.6,51.8,20.0,75.1,51.9,11.3,3.6
1099,Dennis,Hopson,334,10.9,2.8,1.6,43.1,27.1,76.5,44.0,13.3,7.1
1100,Scotty,Hopson,3,0.7,0.0,0.7,0.0,0.0,50.0,0.0,-5.5,-0.1
1101,Cedrick,Hordges,145,7.6,5.9,1.2,47.5,18.8,63.9,47.7,10.6,2.2
1102,Tito,Horford,63,1.5,1.3,0.1,30.0,-,62.8,30.0,4.4,-0.5
1103,Ron,Horn,32,2.5,2.4,0.3,29.2,-,69.7,29.2,5.0,-0.3
1104,Jeff,Hornacek,1077,14.5,3.4,4.9,49.6,40.3,87.7,53.0,17.7,108.9
1105,Dennis,Horner,8,0.6,0.6,0.0,25.0,0.0,75.0,25.0,6.6,0.0
1106,Robert,Horry,1107,7.0,4.8,2.1,42.5,34.1,72.6,48.4,13.4,66.3
1107,Ed,Horton,45,4.5,2.4,0.4,49.4,0.0,60.9,49.4,14.5,0.4
1108,Eddie,House,717,7.5,1.7,1.6,40.9,39.0,85.1,49.0,13.2,20.0
1109,Allan,Houston,839,17.3,2.9,2.4,44.4,40.2,86.3,49.8,14.9,55.3
1110,Byron,Houston,214,3.9,3.0,0.5,45.6,25.6,67.6,46.4,10.2,3.9
1111,Tom,Hovasse,2,0.0,0.0,0.0,0.0,0.0,-,0.0,0.2,0.0
1112,Brian,Howard,95,6.0,2.8,0.9,45.8,22.2,75.2,45.9,10.3,0.9
1113,Josh,Howard,507,14.3,5.7,1.6,44.8,33.2,77.0,47.6,16.7,38.0
1114,Juwan,Howard,1208,13.4,6.1,2.2,46.9,12.0,76.4,46.9,14.6,59.4
1115,Stephen,Howard,120,2.8,1.4,0.2,48.1,-,63.1,48.1,13.8,1.6
1116,Phil,Hubbard,665,10.9,5.3,1.3,49.5,3.8,70.6,49.5,13.9,29.0
1117,Lester,Hudson,57,4.7,1.4,1.2,37.5,27.7,80.6,43.1,13.0,0.2
1118,Troy,Hudson,517,9.0,1.7,3.4,40.1,33.9,85.8,45.3,13.1,10.5
1119,Marcelo,Huertas,76,3.9,1.5,3.1,40.9,25.0,78.3,44.3,10.1,-0.2
1120,Josh,Huestis,76,2.5,2.4,0.3,34.6,31.2,24.0,44.1,6.0,0.7
1121,Nate,Huffman,7,3.3,3.3,0.7,36.0,-,62.5,36.0,11.8,0.1
1122,Eddie,Hughes,97,3.1,1.0,1.6,41.6,36.4,69.2,46.6,8.9,1.5
1123,Kim,Hughes,425,3.8,5.6,0.9,47.9,-,39.7,47.9,11.4,13.9
1124,Larry,Hughes,727,14.1,4.2,3.1,40.6,30.9,75.7,43.5,14.9,32.3
1125,Rick,Hughes,68,5.2,1.7,0.9,40.9,17.6,58.3,41.3,8.2,-0.5
1126,Robbie,Hummel,98,3.9,2.7,0.5,41.8,34.3,86.7,48.7,9.6,1.9
1127,Ryan,Humphrey,85,2.3,2.2,0.2,34.4,0.0,53.9,34.4,6.6,-0.4
1128,Isaac,Humphries,5,3.0,2.2,0.0,28.6,27.3,-,35.7,3.4,-0.1
1129,Jay,Humphries,788,11.1,2.5,5.5,47.6,29.7,78.2,49.1,13.9,45.0
1130,Kris,Humphries,800,6.7,5.4,0.7,46.3,29.3,70.0,46.9,15.4,30.3
1131,Brandon,Hunter,67,3.3,2.8,0.3,47.6,0.0,48.8,47.6,12.5,0.7
1132,Cedric,Hunter,1,0.0,0.0,0.0,-,-,-,-,0.0,0.0
1133,Chris,Hunter,60,4.5,2.8,0.6,50.2,0.0,75.4,50.2,12.2,1.3
1134,Les,Hunter,468,12.3,6.9,1.6,44.3,19.9,69.9,44.6,14.8,25.5
1135,Lindsey,Hunter,937,8.5,2.2,2.7,38.8,36.0,74.6,45.8,12.1,32.9
1136,Othello,Hunter,23,1.4,1.6,0.0,46.9,-,33.3,46.9,11.0,0.2
1137,RJ,Hunter,45,3.0,1.0,0.4,37.1,29.5,81.8,47.0,8.4,0.4
1138,Steven,Hunter,400,4.5,3.2,0.2,56.0,0.0,48.5,56.0,13.0,10.6
1139,Vincent,Hunter,4,1.5,0.8,0.0,60.0,-,-,60.0,35.8,0.0
1140,Bobby,Hurley,269,3.8,1.1,3.3,35.3,27.2,76.9,38.4,8.1,-1.2
1141,Geoff,Huston,496,8.8,1.4,5.1,48.3,25.4,70.8,48.5,12.7,11.9
1142,Marc,Iavaroni,531,4.4,3.2,1.0,45.9,0.0,71.0,45.9,7.9,8.0
1143,Zydrunas,Ilgauskas,843,13.0,7.3,1.1,47.6,31.0,78.0,47.8,18.5,66.3
1144,Mile,Ilic,5,0.0,0.2,0.0,0.0,-,-,0.0,-48.6,-0.2
1145,Tom,Ingelsby,75,3.2,1.3,1.0,42.4,20.0,77.3,42.6,11.0,0.8
1146,Damien,Inglis,20,1.8,1.6,0.5,35.1,23.1,87.5,39.2,6.7,-0.1
1147,Andre,Ingram,6,4.0,1.3,1.2,34.8,41.7,100.0,45.7,10.9,0.1
1148,Byron,Irvin,87,5.2,1.4,0.8,47.1,35.0,72.2,48.1,16.0,2.1
1149,Dan,Issel,1218,22.6,9.1,2.4,49.9,20.4,79.3,50.0,21.4,157.8
1150,Mike,Iuzzolino,122,9.0,2.0,4.3,45.7,40.4,79.8,52.5,12.9,3.7
1151,Allen,Iverson,914,26.7,3.7,6.2,42.5,31.3,78.0,45.2,20.9,99.0
1152,Royal,Ivey,492,3.3,1.1,1.0,40.6,36.1,70.6,45.9,8.4,4.5
1153,Jarrett,Jack,867,10.8,2.9,4.6,44.0,34.3,85.5,48.0,14.1,36.8
1154,Jaren,Jackson Jr.,431,5.5,1.8,1.2,39.1,35.3,76.4,46.9,10.1,11.5
1155,Aaron,Jackson,1,8.0,3.0,1.0,33.3,25.0,50.0,38.9,2.4,0.0
1156,Bobby,Jackson,755,9.7,3.1,2.6,41.7,35.4,79.3,47.0,15.2,31.4
1157,Cedric,Jackson,12,1.7,0.7,1.2,30.0,16.7,58.3,32.5,5.5,-0.2
1158,Darnell,Jackson,138,2.2,1.5,0.2,44.9,23.5,64.4,45.6,8.7,1.3
1159,Demetrius,Jackson,26,1.8,0.7,0.7,48.6,28.6,66.7,54.1,13.0,0.2
1160,Jaren,Jackson,431,5.5,1.8,1.2,39.1,35.3,76.4,46.9,10.1,11.5
1161,Jermaine,Jackson,135,1.9,1.1,1.4,40.1,15.8,71.1,40.8,8.8,1.0
1162,Jim,Jackson,885,14.3,4.7,3.2,42.8,36.5,82.5,46.7,13.5,35.8
1163,Marc,Jackson,1296,9.6,3.8,8.0,44.7,33.2,77.0,48.1,16.0,91.8
1164,Mark,Jackson,1296,9.6,3.8,8.0,44.7,33.2,77.0,48.1,16.0,91.8
1165,Michael,Jackson,264,10.2,5.7,1.0,50.8,26.7,76.6,50.9,13.3,9.0
1166,Myron,Jackson,8,1.4,0.4,0.8,22.2,-,87.5,22.2,10.6,0.0
1167,Phil,Jackson,807,6.7,4.3,1.1,45.3,0.0,73.6,45.3,12.5,29.3
1168,Pierre,Jackson,8,4.4,1.1,2.4,33.3,27.3,85.7,37.2,13.0,0.0
1169,Ralph,Jackson,1,2.0,1.0,4.0,33.3,-,-,33.3,15.6,0.0
1170,Randell,Jackson,1,2.0,1.0,4.0,33.3,-,-,33.3,15.6,0.0
1171,Stanley,Jackson,17,2.2,1.6,0.9,51.5,20.0,100.0,53.0,17.8,0.2
1172,Stephen,Jackson,17,2.2,1.6,0.9,51.5,20.0,100.0,53.0,17.8,0.2
1173,Tony,Jackson,138,15.9,5.4,2.0,37.5,27.5,85.1,41.0,17.3,10.5
1174,Tracy,Jackson,129,5.4,1.9,1.0,46.3,15.4,74.9,46.5,11.8,2.4
1175,Casey,Jacobsen,287,5.2,1.8,1.1,39.3,35.2,76.9,48.0,9.2,6.2
1176,Sam,Jacobson,68,4.2,1.2,0.5,51.1,36.0,73.9,53.0,11.2,1.1
1177,Dave,Jamerson,90,3.4,0.9,0.7,39.2,27.7,86.0,41.3,12.0,0.2
1178,Bernard,James,92,2.2,2.3,0.1,49.7,0.0,68.0,49.7,13.8,1.9
1179,Damion,James,39,3.8,3.4,0.7,41.5,0.0,66.7,41.5,8.5,0.0
1180,Henry,James,212,6.1,1.5,0.4,41.4,37.8,81.0,48.1,11.3,3.5
1181,Jerome,James,358,4.3,3.1,0.3,48.5,0.0,61.7,48.5,10.6,2.9
1182,Mike,James,595,9.9,2.2,3.5,41.7,37.9,80.2,48.4,14.0,22.3
1183,Mike,James,595,9.9,2.2,3.5,41.7,37.9,80.2,48.4,14.0,22.3
1184,Tim,James,43,1.6,1.1,0.3,32.9,33.3,65.2,33.5,6.3,0.0
1185,Antawn,Jamison,1083,18.5,7.5,1.6,45.1,34.6,72.4,48.5,18.1,87.8
1186,Harold,Jamison,37,1.9,1.6,0.3,46.0,-,42.4,46.0,11.7,0.4
1187,Marko,Jaric,447,7.1,2.7,3.6,40.4,34.4,73.0,45.3,12.0,12.1
1188,Sarunas,Jasikevicius,138,6.8,1.6,2.9,39.7,35.5,90.8,48.3,12.7,4.5
1189,Nathan,Jawai,45,2.8,2.4,0.5,43.5,0.0,68.4,43.5,10.2,0.2
1190,Abdul,Jeelani,143,9.0,3.5,1.1,47.3,0.0,80.2,47.3,17.2,5.4
1191,Chris,Jefferies,72,3.9,1.2,0.4,38.3,36.5,66.7,44.9,7.2,-0.5
1192,Othyus,Jeffers,37,3.8,2.6,0.6,46.0,16.7,66.7,46.5,12.7,0.8
1193,Al,Jefferson,915,15.7,8.4,1.5,49.9,12.1,71.1,49.9,20.6,71.0
1194,Cory,Jefferson,58,3.5,2.8,0.3,44.4,12.5,58.3,45.0,13.2,0.9
1195,Dontell,Jefferson,6,4.8,2.0,1.5,50.0,50.0,66.7,52.3,12.7,0.2
1196,Richard,Jefferson,1181,12.6,4.0,2.0,46.4,37.6,76.8,51.1,14.4,83.0
1197,Jared,Jeffries,629,4.8,4.1,1.3,42.6,25.0,58.3,44.0,9.6,13.1
1198,Charles,Jenkins,110,3.7,0.9,1.9,43.4,18.2,75.4,43.9,10.7,0.5
1199,Horace,Jenkins,15,2.8,0.6,0.6,33.3,0.0,92.3,33.3,10.2,0.0
1200,John,Jenkins,171,5.0,1.5,0.8,44.1,36.7,84.7,52.4,11.7,3.0
1201,Brandon,Jennings,555,14.1,3.0,5.7,38.7,34.5,79.6,45.2,15.7,29.9
1202,Keith,Jennings,164,6.6,1.5,3.7,43.6,37.4,85.2,52.0,15.5,7.7
1203,Chris,Jent,6,6.2,2.7,1.3,46.9,42.9,50.0,56.3,11.6,0.2
1204,Les,Jepsen,52,1.0,1.3,0.0,33.3,0.0,65.0,33.3,8.8,0.1
1205,Jonas,Jerebko,635,6.2,4.0,0.8,45.7,36.3,77.0,52.0,13.2,25.8
1206,Grant,Jerrett,8,2.0,1.1,0.4,26.9,6.7,100.0,28.8,1.5,-0.1
1207,Britton,Johnsen,26,2.1,2.1,0.6,28.4,6.3,43.8,29.0,2.1,-0.7
1208,Darius,Johnson-Odom,59,3.5,1.1,0.3,36.5,20.0,66.3,37.2,7.5,-0.3
1209,Alexander,Johnson,102,4.3,2.7,0.3,51.7,-,67.2,51.7,11.4,1.5
1210,Alize,Johnson,102,4.3,2.7,0.3,51.7,-,67.2,51.7,11.4,1.5
1211,Amir,Johnson,870,7.0,5.4,1.2,57.0,33.2,67.3,58.2,15.8,55.3
1212,Avery,Johnson,1054,8.4,1.7,5.5,47.9,14.5,70.6,48.1,14.5,56.5
1213,Brice,Johnson,26,2.1,2.1,0.6,28.4,6.3,43.8,29.0,2.1,-0.7
1214,Buck,Johnson,505,9.1,3.5,1.7,48.8,11.3,73.8,48.8,11.9,20.8
1215,Cameron,Johnson,15,1.8,0.6,1.5,31.4,26.7,33.3,37.1,8.9,0.0
1216,Carldell,Johnson,15,1.8,0.6,1.5,31.4,26.7,33.3,37.1,8.9,0.0
1217,Clay,Johnson,761,5.4,4.6,1.0,49.2,0.0,62.1,49.2,12.7,25.5
1218,Clemon,Johnson,761,5.4,4.6,1.0,49.2,0.0,62.1,49.2,12.7,25.5
1219,Dakari,Johnson,59,3.5,1.1,0.3,36.5,20.0,66.3,37.2,7.5,-0.3
1220,Darryl,Johnson,59,3.5,1.1,0.3,36.5,20.0,66.3,37.2,7.5,-0.3
1221,Dave,Johnson,59,3.5,1.1,0.3,36.5,20.0,66.3,37.2,7.5,-0.3
1222,David,Johnson,59,3.5,1.1,0.3,36.5,20.0,66.3,37.2,7.5,-0.3
1223,DeMarco,Johnson,1100,14.1,3.9,5.0,44.5,17.2,79.7,44.8,14.6,82.6
1224,Dennis,Johnson,1100,14.1,3.9,5.0,44.5,17.2,79.7,44.8,14.6,82.6
1225,DerMarr,Johnson,1100,14.1,3.9,5.0,44.5,17.2,79.7,44.8,14.6,82.6
1226,Eddie,Johnson,166,12.3,10.2,1.1,47.4,33.3,55.4,47.4,14.0,8.5
1227,Eddie,Johnson,166,12.3,10.2,1.1,47.4,33.3,55.4,47.4,14.0,8.5
1228,Eric,Johnson,48,1.1,0.6,1.3,23.8,16.7,76.5,24.4,4.6,-0.4
1229,Ervin,Johnson,48,1.1,0.6,1.3,23.8,16.7,76.5,24.4,4.6,-0.4
1230,Frank,Johnson,596,8.3,1.7,4.2,43.9,21.8,76.0,44.5,12.7,17.2
1231,George,Johnson,136,3.7,5.0,0.6,44.9,-,53.9,44.9,8.6,3.0
1232,George,Johnson,136,3.7,5.0,0.6,44.9,-,53.9,44.9,8.6,3.0
1233,George,Johnson,136,3.7,5.0,0.6,44.9,-,53.9,44.9,8.6,3.0
1234,Gus,Johnson,631,16.2,12.1,2.5,44.0,19.0,70.0,44.0,16.7,36.9
1235,Ivan,Johnson,125,6.5,3.9,0.6,51.7,15.8,66.2,51.9,15.1,4.5
1236,Joe,Johnson,869,12.9,5.5,3.8,44.6,0.0,77.9,44.6,14.1,37.1
1237,John,Johnson,869,12.9,5.5,3.8,44.6,0.0,77.9,44.6,14.1,37.1
1238,Kannard,Johnson,4,0.5,0.0,0.0,33.3,-,-,33.3,-4.6,-0.1
1239,Keldon,Johnson,64,4.1,3.8,0.3,52.8,-,43.5,52.8,9.3,0.8
1240,Ken,Johnson,64,4.1,3.8,0.3,52.8,-,43.5,52.8,9.3,0.8
1241,Ken,Johnson,64,4.1,3.8,0.3,52.8,-,43.5,52.8,9.3,0.8
1242,Kevin,Johnson,64,4.1,3.8,0.3,52.8,-,43.5,52.8,9.3,0.8
1243,Lee,Johnson,12,1.4,1.8,0.1,28.0,-,60.0,28.0,0.8,-0.2
1244,Linton,Johnson,151,3.9,3.3,0.4,41.6,30.5,69.9,44.4,10.9,2.6
1245,Magic,Johnson,691,20.1,7.0,3.6,51.8,15.2,73.9,51.9,20.1,79.8
1246,Marques,Johnson,691,20.1,7.0,3.6,51.8,15.2,73.9,51.9,20.1,79.8
1247,Mickey,Johnson,904,14.1,7.2,3.0,44.9,16.5,80.0,45.0,16.9,58.6
1248,Nick,Johnson,28,2.6,1.4,0.4,34.7,23.8,68.0,38.0,4.8,-0.1
1249,Ollie,Johnson,690,7.7,3.3,1.8,49.6,15.0,82.7,49.6,12.8,27.0
1250,Omari,Johnson,4,5.5,2.8,1.8,42.9,33.3,-,52.4,10.5,0.1
1251,Orlando,Johnson,103,3.2,1.7,0.7,35.8,31.1,72.7,43.0,8.5,1.4
1252,Reggie,Johnson,305,8.4,4.1,0.9,50.5,14.3,71.6,50.5,12.5,11.0
1253,Rich,Johnson,135,5.0,3.1,0.4,46.1,-,63.3,46.1,11.2,2.2
1254,Stanley,Johnson,647,16.3,6.6,1.5,42.3,30.8,78.8,43.5,15.0,11.8
1255,Steffond,Johnson,647,16.3,6.6,1.5,42.3,30.8,78.8,43.5,15.0,11.8
1256,Steve,Johnson,647,16.3,6.6,1.5,42.3,30.8,78.8,43.5,15.0,11.8
1257,Trey,Johnson,23,2.6,0.9,0.7,38.5,33.3,94.7,39.4,8.1,0.0
1258,Vinnie,Johnson,984,12.0,3.2,3.3,46.4,25.4,74.0,46.8,15.2,50.8
1259,Wesley,Johnson,609,7.0,3.2,1.1,40.4,33.7,74.1,48.1,10.0,10.7
1260,Nate,Johnston,21,2.2,1.1,0.0,37.5,25.0,69.2,38.5,14.1,0.1
1261,Jim,Johnstone,23,1.3,2.0,0.5,36.7,-,45.0,36.7,4.5,-0.1
1262,Perry,Jones III,143,3.4,1.8,0.4,42.0,29.3,66.0,45.9,8.5,1.7
1263,Derrick,Jones Jr.,63,3.7,1.7,0.3,43.6,25.7,66.7,45.6,8.4,0.1
1264,Alvin,Jones,23,1.1,1.6,0.1,40.0,-,50.0,40.0,6.2,0.1
1265,Anthony,Jones,164,3.6,1.3,0.7,39.3,30.6,74.0,40.6,9.8,0.8
1266,Askia,Jones,11,4.1,1.0,1.5,34.1,16.7,81.3,36.4,8.3,-0.1
1267,Bill,Jones,37,3.5,1.3,0.5,49.0,0.0,67.4,49.0,13.9,0.6
1268,Bobby,Jones,941,12.1,6.1,2.7,56.0,0.0,76.6,56.0,18.2,94.1
1269,Bobby,Jones,941,12.1,6.1,2.7,56.0,0.0,76.6,56.0,18.2,94.1
1270,Caldwell,Jones,1299,7.9,8.2,1.4,47.4,12.3,75.6,47.5,12.1,66.2
1271,Charles,Jones,726,2.5,4.5,0.9,48.0,0.0,61.8,48.0,9.2,24.6
1272,Charles,Jones,726,2.5,4.5,0.9,48.0,0.0,61.8,48.0,9.2,24.6
1273,Charles R.,Jones,726,2.5,4.5,0.9,48.0,0.0,61.8,48.0,9.2,24.6
1274,Dahntay,Jones,657,6.6,1.6,2.7,40.7,39.0,72.7,53.3,12.4,28.0
1275,Damian,Jones,657,6.6,1.6,2.7,40.7,39.0,72.7,53.3,12.4,28.0
1276,Damon,Jones,657,6.6,1.6,2.7,40.7,39.0,72.7,53.3,12.4,28.0
1277,DeQuan,Jones,63,3.7,1.7,0.3,43.6,25.7,66.7,45.6,8.4,0.1
1278,Dominique,Jones,15,2.9,0.6,0.3,33.3,26.1,-,38.6,3.8,-0.3
1279,Dontae',Jones,15,2.9,0.6,0.3,33.3,26.1,-,38.6,3.8,-0.3
1280,Dwayne,Jones,766,8.1,5.9,1.2,47.1,50.0,74.0,47.2,13.2,27.6
1281,Dwight,Jones,766,8.1,5.9,1.2,47.1,50.0,74.0,47.2,13.2,27.6
1282,Earl,Jones,14,0.9,0.7,0.3,38.5,-,75.0,38.5,0.2,-0.1
1283,Eddie,Jones,363,9.0,4.8,0.9,50.6,26.2,71.0,51.0,15.1,15.0
1284,Edgar,Jones,363,9.0,4.8,0.9,50.6,26.2,71.0,51.0,15.1,15.0
1285,Fred,Jones,430,7.5,2.2,2.3,41.1,35.3,80.9,47.6,11.3,16.5
1286,Jemerrio,Jones,6,4.5,8.2,2.2,36.4,20.0,50.0,39.4,12.1,0.2
1287,Jimmy,Jones,686,16.6,4.3,4.5,50.9,25.0,78.5,51.0,17.1,78.8
1288,Johnny,Jones,80,5.2,2.9,0.8,35.8,0.0,59.7,35.8,10.5,-0.6
1289,Jumaine,Jones,471,7.1,4.2,0.9,42.4,34.9,70.4,49.4,12.5,15.1
1290,Kevin,Jones,32,3.0,2.4,0.3,40.2,-,60.0,40.2,11.1,0.2
1291,Larry,Jones,551,19.1,4.9,3.7,45.3,27.7,79.3,46.3,18.9,56.4
1292,Major,Jones,374,4.4,3.5,0.6,49.0,11.1,58.6,49.0,11.3,5.5
1293,Mark,Jones,374,4.4,3.5,0.6,49.0,11.1,58.6,49.0,11.3,5.5
1294,Mark,Jones,374,4.4,3.5,0.6,49.0,11.1,58.6,49.0,11.3,5.5
1295,Nick,Jones,198,5.2,1.1,1.3,41.0,0.0,76.2,41.0,10.2,1.9
1296,Ozell,Jones,70,3.5,3.4,0.8,58.2,0.0,39.8,58.2,11.1,1.2
1297,Popeye,Jones,535,7.0,7.4,1.3,44.7,28.1,75.1,45.0,13.3,22.0
1298,Rich,Jones,508,15.6,7.4,2.7,42.0,30.3,76.9,42.9,14.1,24.7
1299,Shelton,Jones,51,4.8,2.2,0.8,44.5,0.0,72.5,44.5,10.4,0.3
1300,Solomon,Jones,281,3.0,2.3,0.4,46.7,11.1,71.7,46.7,10.2,5.0
1301,Steve,Jones,704,15.2,3.5,2.2,44.4,33.8,82.2,45.4,13.8,36.9
1302,Terrence,Jones,234,10.4,5.7,1.0,50.1,29.7,62.1,52.4,17.1,14.7
1303,Adonis,Jordan,10,2.1,0.6,2.2,29.6,25.0,50.0,35.2,8.0,0.0
1304,Eddie,Jordan,420,8.1,1.9,3.8,41.4,22.4,76.3,41.8,13.1,8.8
1305,Jerome,Jordan,65,2.8,2.0,0.3,52.8,-,85.2,52.8,17.1,1.7
1306,Michael,Jordan,1072,30.1,6.2,5.3,49.7,32.7,83.5,50.9,27.9,214.0
1307,Reggie,Jordan,186,2.7,1.8,1.0,43.3,33.3,58.5,43.6,14.1,3.0
1308,Thomas,Jordan,4,11.0,4.8,0.8,43.9,-,47.1,43.9,6.9,-0.2
1309,Walter,Jordan,30,2.3,1.4,0.4,38.7,-,58.8,38.7,8.5,-0.1
1310,Garth,Joseph,4,0.5,0.5,0.3,20.0,-,0.0,20.0,-5.0,-0.1
1311,Kris,Joseph,10,0.9,0.7,0.1,14.3,0.0,62.5,14.3,0.6,-0.1
1312,Yvon,Joseph,1,2.0,0.0,0.0,-,-,100.0,-,12.8,0.0
1313,Jeff,Judkins,272,5.4,1.6,1.0,47.8,31.5,81.2,48.7,12.9,6.3
1314,Chris,Kaman,735,11.2,7.6,1.3,48.9,4.2,74.3,48.9,14.9,24.6
1315,Jason,Kapono,509,6.7,1.7,0.8,44.2,43.4,83.5,51.7,10.5,10.3
1316,Sergey,Karasev,95,3.0,1.5,0.9,39.5,28.2,84.2,45.9,8.7,0.8
1317,Coby,Karl,24,2.4,1.3,1.0,34.5,25.0,75.0,39.7,9.2,0.0
1318,George,Karl,264,6.5,1.4,3.0,46.5,22.2,78.0,46.9,13.2,7.7
1319,Mario,Kasun,73,2.7,2.6,0.2,46.7,0.0,63.6,46.7,10.8,0.8
1320,Sasha,Kaun,25,0.9,1.0,0.1,52.9,-,45.5,52.9,12.5,0.2
1321,Clarence,Kea,51,3.9,2.5,0.4,48.5,0.0,69.2,48.5,13.8,1.0
1322,Adam,Keefe,617,5.0,4.1,0.7,50.2,7.1,71.4,50.2,12.9,24.9
1323,Harold,Keeling,20,2.2,0.3,0.5,43.6,-,71.4,43.6,16.1,0.1
1324,Rich,Kelley,814,7.6,7.0,2.6,48.8,0.0,78.3,48.8,15.0,42.5
1325,Clark,Kellogg,260,18.9,9.5,2.9,49.7,33.8,75.7,50.0,19.3,20.9
1326,Ryan,Kelly,163,6.0,3.1,1.3,37.8,31.6,79.7,43.8,10.5,3.0
