,fname,lname,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
837,Pat,Garrity,552,7.3,2.6,0.8,41.7,39.8,80.6,50.6,10.7,18.7
838,Pau,Gasol,1226,17.0,9.2,3.2,50.7,36.8,75.3,51.3,21.4,144.1
839,Chris,Gatling,700,10.3,5.3,0.7,51.3,24.9,66.0,51.7,17.6,32.1
840,Kenny,Gattison,494,7.9,4.7,0.9,52.0,8.3,64.9,52.0,13.0,16.9
841,Andrew,Gaze,26,1.7,0.5,0.4,38.1,37.5,100.0,48.8,9.6,0.1
842,Michael,Gbinije,9,0.4,0.3,0.2,10.0,0.0,100.0,10.0,-2.1,-0.1
843,Reggie,Geary,101,2.1,0.8,1.1,34.4,32.8,49.3,38.8,7.3,0.6
844,Alonzo,Gee,417,6.6,3.3,1.1,43.4,32.5,75.4,47.4,10.7,9.7
845,Matt,Geiger,552,9.2,5.7,0.7,49.9,23.2,72.8,50.1,15.2,28.4
846,Mickael,Gelabale,145,4.6,2.3,0.8,47.0,31.6,81.5,50.8,10.5,3.0
847,Devean,George,630,5.6,3.1,0.9,39.2,34.3,72.1,45.6,10.6,18.2
848,Tate,George,177,4.2,1.0,1.8,41.4,7.1,82.0,41.5,10.7,1.3
849,Marcus,Georges-Hunt,47,1.6,0.5,0.2,41.8,29.4,71.0,46.4,7.5,0.3
850,Gus,Gerard,446,8.4,4.1,1.3,43.8,27.3,69.6,43.9,13.8,11.1
851,Derrick,Gervin,77,8.8,2.3,0.5,43.5,22.6,76.4,44.1,16.3,2.1
852,George,Gervin,1060,25.1,5.3,2.6,50.4,27.1,84.1,50.7,21.4,116.3
853,John,Gianelli,541,7.8,5.9,1.5,47.0,-,70.2,47.0,11.7,23.0
854,Daniel,Gibson,397,7.8,2.0,2.0,40.2,40.7,78.0,51.2,10.8,16.0
855,Jonathan,Gibson,21,6.7,1.2,1.4,41.5,36.8,72.4,50.4,11.8,0.0
856,Mike,Gibson,64,1.6,1.7,0.2,38.7,-,67.9,38.7,8.6,0.3
857,Trey,Gilder,2,1.0,0.5,0.0,100.0,-,-,100.0,30.9,0.0
858,Eddie,Gill,187,3.1,1.1,1.2,36.1,32.0,84.7,42.4,9.9,1.9
859,Kendall,Gill,966,13.4,4.1,3.0,43.4,30.0,75.4,44.8,14.7,47.8
860,Ben,Gillery,24,1.0,1.0,0.1,31.6,-,56.5,31.6,5.0,0.0
861,Armen,Gilliam,929,13.7,6.9,1.2,48.9,0.0,77.6,48.9,16.4,58.1
862,Artis,Gilmore,1329,18.8,12.3,2.3,58.2,15.0,69.8,58.2,21.4,189.7
863,Manu,Ginobili,1057,13.3,3.5,3.8,44.7,36.9,82.7,52.0,20.2,106.4
864,Gordan,Giricek,384,9.6,2.5,1.5,44.2,36.8,82.3,48.6,11.8,8.0
865,Jack,Givens,156,6.7,2.9,0.9,40.1,0.0,79.1,40.1,12.3,4.3
866,Mickell,Gladness,26,2.2,2.2,0.2,42.4,-,50.0,42.4,9.5,0.2
867,Gerald,Glass,201,7.7,2.5,1.5,43.3,23.6,64.3,44.2,13.3,1.8
868,Mike,Glenn,593,7.6,1.2,1.6,54.2,28.6,85.5,54.3,15.1,25.3
869,Georgi,Glouchkov,49,4.9,3.3,0.7,40.2,100.0,57.4,40.4,5.7,-0.5
870,Dion,Glover,294,8.2,3.1,1.5,41.1,31.7,75.6,44.5,12.8,5.8
871,Andreas,Glyniadakis,13,1.3,0.6,0.1,47.1,-,50.0,47.1,-3.3,-0.2
872,Mike,Gminski,938,11.7,6.9,1.3,46.5,12.2,84.3,46.5,16.3,55.9
873,Dan,Godfread,11,1.2,0.2,0.0,41.7,0.0,75.0,41.7,18.5,0.1
