fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
Lucas,Nogueira,,2014,241,84,Sao Goncalo,Brazil,141,3.2,2.8,0.5,63.2,26.5,64,64.8,15.8,6
Nikola,Mirotic,,2014,250,82,Podgorica,Montenegro,319,12.3,5.9,1.3,42.3,35.9,80.8,52.2,16.7,20.8
Marcelo,Huertas,,2015,200,75,Sao Paulo,Brazil,76,3.9,1.5,3.1,40.9,25,78.3,44.3,10.1,-0.2
Joffrey,Lauvergne,,2015,220,83,Mulhouse,France,208,5.6,3.8,0.9,47.9,28.5,71.9,50.4,14.3,5.2
Salah,Mejri,,2015,235,86,Jendouba,Tunisia,204,3.4,4,0.5,60.3,29.3,59,61.6,16.3,8.1
Damien,Inglis,,2015,246,80,Cayenne,French Guiana,20,1.8,1.6,0.5,35.1,23.1,87.5,39.2,6.7,-0.1
Tibor,Pleiss,,2015,256,87,Bergisch Gladbach,Germany,12,2,1.3,0.2,44,0,100,44,3.5,-0.1
Nicolas,Laprovittola,,2016,180,76,Buenos Aires,Argentina,18,3.3,0.6,1.6,42.6,37,100,53.2,8.4,0.2
Nicolas,Brussino,,2016,195,79,Santa Fe,Argentina,58,2.6,1.7,0.8,36.4,29.9,77.3,46.5,10.5,0.6
Axel,Toupane,,2016,197,79,Mulhouse,France,25,3.5,1.3,0.6,38,31.8,76.5,46.8,7,0.4
Alex,Abrines,,2016,200,78,Palma de Mallorca,Spain,174,5.3,1.4,0.5,38.7,36.8,88,52.5,8.8,5
Paul,Zipser,,2016,215,80,Heidelberg,Germany,98,4.7,2.6,0.8,37.1,33.5,76.9,44.8,6.1,0
Mindaugas,Kuzminskas,,2016,215,81,Vilnius,Lithuania,69,6.2,1.8,1,42.6,32.1,80.9,49.9,12.3,1.1
Georgios,Papagiannis,,2016,240,85,Amarousio,Greece,39,4.1,3.2,0.7,51.4,0,85.7,51.4,12.6,0.4
Milos,Teodosic,,2017,196,77,Valjevo,Serbia,60,8,2.4,4,42,37.8,81.1,54.3,11,1.3
Guerschon,Yabusele,,2017,260,80,Dreux,France,74,2.3,1.4,0.4,44.2,32.3,68.2,51.8,12.4,1.1
Mitchell,Creek,,2019,216,77,Horsham,Australia,5,4.2,2.4,1.2,50,0,71.4,50,20.2,0.2
Mickell,Gladness,Alabama A&amp;M University,2011,220,83,Birmgham,Alabama,26,2.2,2.2,0.2,42.4,-,50,42.4,9.5,0.2
Kevin,Loder,Alabama State University,1981,205,78,Cassopolis,Michigan,148,5.9,2.3,1.2,46.1,26.1,69.5,46.5,11.9,2.4
Leon,Douglas,Alabama,1976,230,82,Leighton,Alabama,456,7.9,6.5,1.1,49.5,0,60.1,49.5,11.9,15.2
Reggie,King,Alabama,1979,225,78,Birmgham,Alabama,438,8.9,6.2,1.6,51.4,0,69.9,51.4,13.1,24.8
Eddie,Phillips,Alabama,1982,225,79,Birmgham,Alabama,48,3.2,1.6,0.6,40.6,0,67.8,40.6,7.5,0.1
Ennis,Whatley,Alabama,1983,177,75,Birmgham,Alabama,385,5.6,1.8,4.6,46.8,9.7,75.5,46.9,13,9.6
Buck,Johnson,Alabama,1986,190,79,Birmgham,Alabama,505,9.1,3.5,1.7,48.8,11.3,73.8,48.8,11.9,20.8
Jim,Farmer,Alabama,1987,190,76,Dothan,Alabama,136,5.3,1.4,0.8,42.8,28.2,73,44.5,10.9,0.7
Derrick,McKey,Alabama,1987,205,81,Meridian,Mississippi,937,11,4.7,2.4,48.6,31.6,77.9,49.8,13.9,61.8
Michael,Ansley,Alabama,1989,225,79,Birmgham,Alabama,149,6.9,4.2,0.4,51.3,-,72.2,51.3,17,6.4
Keith,Askins,Alabama,1990,197,79,Athens,Alabama,486,3.8,2.9,0.8,40.1,35.5,71.7,48.3,9.2,14.5
David,Benoit,Alabama,1991,220,80,Lafayette,Louisiana,492,7,4,0.6,43.8,31.9,79.5,47.2,12,16.9
Latrell,Sprewell,Alabama,1992,190,77,Milwaukee,Wisconsin,913,18.3,4.1,4,42.5,33.7,80.4,46.4,15.1,56.3
Robert,Horry,Alabama,1992,220,81,Andalusia,Alabama,1107,7,4.8,2.1,42.5,34.1,72.6,48.4,13.4,66.3
Marcus,Webb,Alabama,1992,255,81,Montgomery,Alabama,9,4.3,1.1,0.2,52,0,61.9,52,20.1,0.1
Antonio,McDyess,Alabama,1995,220,81,Quitman,Mississippi,1015,12,7.5,1.3,49.7,11.7,67,49.7,17.2,69.8
Jason,Caffey,Alabama,1995,255,80,Mobile,Alabama,462,7.3,4.4,0.9,48.1,0,63.7,48.1,12.5,13.5
Eric,Washington,Alabama,1997,190,76,Pearl,Mississippi,104,6.9,2.1,1,40.2,34.6,75.7,46.1,9.5,0.1
Gerald,Wallace,Alabama,2001,215,79,Sylacauga,Alabama,832,11.9,5.8,2.1,46.9,31.2,70.9,49.6,16.3,59.7
Marcus,Williams,Alabama,2003,198,73,Jackson,Mississippi,818,13.2,2.8,4.9,43.4,37.8,87.1,49.3,15,40
Jermareo,Davidson,Alabama,2007,230,82,Atlanta,Georgia,52,3.1,1.8,0.3,42.5,-,57.8,42.5,10.5,0
Alonzo,Gee,Alabama,2010,225,78,Riviera Beach,Florida,417,6.6,3.3,1.1,43.4,32.5,75.4,47.4,10.7,9.7
Caldwell,Jones,Albany State University,1973,217,83,McGehee,Arkansas,1299,7.9,8.2,1.4,47.4,12.3,75.6,47.5,12.1,66.2
Major,Jones,Albany State University,1979,225,81,McGhee,Arkansas,374,4.4,3.5,0.6,49,11.1,58.6,49,11.3,5.5
Charles,Jones,Albany State University,1984,215,81,McGehee,Arkansas,726,2.5,4.5,0.9,48,0,61.8,48,9.2,24.6
Labradford,Smith,Alcorn State University,1980,215,80,Rollg Fork,Mississippi,883,6.7,9.2,1.1,53.1,0,53.1,53.1,12.6,46
Mike,Phelps,Alcorn State University,1985,180,76,Vicksburg,Mississippi,132,3.6,1.1,1,41.6,9.1,63.9,41.8,8.8,0.3
Mario,Elie,American International College,1990,210,77,New York,New York,732,8.6,2.8,2.6,47.3,36.5,85.4,53.7,13.1,48.9
Kermit,Washington,American University,1973,230,80,Washgton,District of Columbia,507,9.2,8.3,1.4,52.6,0,65.6,52.6,16,36
Andre,Ingram,American University,2018,190,75,Richmond,Virginia,6,4,1.3,1.2,34.8,41.7,100,45.7,10.9,0.1
Dennis,Hamilton,Arizona State,1969,210,80,Huntgton Beach,California,144,4.6,3.1,0.8,51.1,0,77.3,51.1,12.2,4
Joe,Caldwell,Arizona State,1970,195,77,Texas City,Texas,782,16.1,5.3,3.4,46.6,22.5,57.2,46.7,14.7,37.8
Paul,Stovall,Arizona State,1973,215,76,</span,],38,4.6,3.1,0.7,41.6,-,63.4,41.6,12.1,0.2
Lionel,Hollins,Arizona State,1975,185,75,Ark City,Kansas,673,11.6,2.4,4.5,44.4,14.9,74.1,44.5,13,22.9
Rudy,White,Arizona State,1975,195,74,Silver City,New Mexico,124,3.1,1,0.9,40.8,0,74.2,40.8,9.2,0.2
Scott,Lloyd,Arizona State,1976,230,82,Chicago,Illinois,372,4.6,3,1,42.5,28.6,71.8,42.6,8.5,2.5
Mark,Landsberger,Arizona State,1977,215,80,Mot,North Dakota,437,5.6,6.1,0.5,48.1,0,52.2,48.1,12.8,12.2
Tony,Zeno,Arizona State,1979,210,80,New Orleans,Louisiana,8,1.8,1.8,0.1,28.6,-,100,28.6,0.2,-0.2
Kurt,Nimphius,Arizona State,1981,218,82,Milwaukee,Wisconsin,564,6.4,4.4,1.2,48.7,10,66.8,48.7,11.8,17.5
Alton,Lister,Arizona State,1981,240,,Dallas,Texas,953,6.6,6.3,1,51.2,11.1,59.7,51.2,12.9,36.6
Byron,Scott,Arizona State,1983,195,75,Ogden,Utah,1073,14.1,2.8,2.5,48.2,37,83.3,51.4,15.5,75.2
Mario,Bennett,Arizona State,1996,235,78,Denton,Texas,68,4,2.7,0.4,53.4,33.3,51.1,53.6,18.2,1.9
Eddie,House,Arizona State,2000,180,73,Berkeley,California,717,7.5,1.7,1.6,40.9,39,85.1,49,13.2,20
Mike,Batiste,Arizona State,2002,225,80,Long Beach,California,75,6.4,3.4,0.7,42.2,22.2,78.4,44.1,12.2,0.8
Awvee,Storey,Arizona State,2004,222,78,Chicago,Illinois,60,2.4,1.4,0.4,41.4,25,51.1,42.9,10.5,0.3
Ike,Diogu,Arizona State,2005,250,80,Buffalo,New York,225,6,3.1,0.3,50.9,50,78.6,51,15.6,6.5
Carrick,Felix,Arizona State,2013,201,78,Las Vegas,Nevada,7,2.7,0.9,0.6,50,40,75,57.1,13.3,0
Eric,Money,Arizona,1974,170,,Detroit,Michigan,426,12.2,2.1,3.8,49.4,-,74.8,49.4,14.5,14.8
Bob,Elliott,Arizona,1978,225,81,Ann Arbor,Michigan,141,7,3.6,1.4,49.4,33.3,64.9,49.6,12.3,3
Larry,Demic,Arizona,1979,225,81,Gary,Indiana,206,4.7,3.9,0.5,45.9,0,58,45.9,8.1,1.4
Pete,Williams,Arizona,1985,190,79,Harbor City,California,58,2.6,2.5,0.3,60.2,-,42.5,60.2,11.4,1.4
Steve,Kerr,Arizona,1988,175,75,Beirut,Lebanon,910,6,1.2,1.8,47.9,45.4,86.4,56.4,13.1,47.2
Tom,Tolbert,Arizona,1988,235,79,Long Beach,California,312,6.5,4,0.9,46,29.6,71.6,46.8,10.5,6.6
Sean,Elliott,Arizona,1989,205,80,Tucson,Arizona,742,14.2,4.3,2.6,46.5,37.5,79.9,50,13.9,55.7
Anthony,Cook,Arizona,1990,205,81,Los Angeles,California,116,3.6,3.7,0.3,43.9,0,52.4,43.9,11,1
Jud,Buechler,Arizona,1990,220,78,San Diego,California,720,3.3,1.8,0.8,43.3,36.6,63.3,49.2,11.2,16.5
Bison,Dele,Arizona,1991,235,81,Fresno,California,413,11,6.2,1.1,52.8,14.3,69.1,52.8,16.5,22.8
Matt,Othick,Arizona,1992,165,74,Clovis,New Mexico,4,2,0.5,1.8,60,50,0,80,5.9,0
Sean,Rooks,Arizona,1992,250,82,New York,New York,749,6.2,3.8,0.8,45.9,9.1,69.9,45.9,12,16.2
Chris,Mills,Arizona,1993,215,78,Los Angeles,California,568,11.2,4.9,1.9,43.2,35.1,81.7,47.1,13.3,37.7
Khalid,Reeves,Arizona,1994,199,75,Queens,New York,277,7.8,2.1,3.2,41.6,36.3,74.4,48.2,13.1,8.4
Damon,Stoudamire,Arizona,1995,171,70,Portland,Oregon,878,13.4,3.5,6.1,40.6,35.7,83.3,46.4,15.4,55.4
Reggie,Geary,Arizona,1996,187,74,Trenton,New Jersey,101,2.1,0.8,1.1,34.4,32.8,49.3,38.8,7.3,0.6
Ray,Owes,Arizona,1996,224,81,San Bernardo,California,57,3.1,2.9,0.3,41.7,20,56.5,41.9,11.1,0.4
Ben,Davis,Arizona,1996,240,81,Vero Beach,Florida,40,1.4,1.3,0.1,35.6,-,46.2,35.6,12.5,0.1
