fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
Ollie,Mack,East Carolina University,1979,185,75,New York,New York,128,7.2,2.5,1.8,45.8,0,67.4,45.8,12,2.5
Blue,Edwards,East Carolina University,1989,200,76,Washgton,District of Columbia,704,10.8,3.4,2,47.5,33.5,77.9,49.9,12.8,24.2
Jonathan,Kerner,East Carolina University,1999,245,83,Atlanta,Georgia,1,0,0,0,0,-,-,0,-15.2,0
Keith,Jennings,East Tennessee State University,1992,160,67,Culpepper,Virginia,164,6.6,1.5,3.7,43.6,37.4,85.2,52,15.5,7.7
Lee,Johnson,East Texas State University,1980,205,83,Plummerville,Arkansas,12,1.4,1.8,0.1,28,-,60,28,0.8,-0.2
Kevin,Duckworth,Eastern Illinois University,1986,275,,Harvey,Illinois,684,11.8,5.8,0.9,46.8,20.8,73.6,46.8,11.9,24.7
Jay,Taylor,Eastern Illinois University,1989,190,75,Aurora,Illinois,17,3,0.6,0.3,40.4,23.1,66.7,43.3,9.5,-0.1
Bobby,Washington,Eastern Kentucky University,1969,175,71,</span,],118,5.9,2,3.5,39.7,-,77.6,39.7,14.4,2.1
Garfield,Smith,Eastern Kentucky University,1972,235,81,Campbellsville,Kentucky,134,3.2,3.3,0.4,43.7,-,31.1,43.7,8.5,0.7
George,Gervin,Eastern Michigan,1973,180,79,Detroit,Michigan,1060,25.1,5.3,2.6,50.4,27.1,84.1,50.7,21.4,116.3
Fred,Cofield,Eastern Michigan,1985,190,75,Ypsilanti,Michigan,50,3.4,1,1.7,39.5,18.8,60,40.3,7.7,-0.5
Grant,Long,Eastern Michigan,1988,225,80,Wayne,Michigan,1003,9.5,6.1,1.7,46.7,28.3,76.1,47.2,13.3,60.1
Charles,Thomas,Eastern Michigan,1991,175,75,Dayton,Ohio,36,1.3,0.6,0.6,35.3,11.8,66.7,37.3,6.1,-0.1
Carl,Thomas,Eastern Michigan,1991,175,76,Dayton,Ohio,63,2.9,1,0.4,39.8,31.5,64.3,46.3,10.3,0.6
Earl,Boykins,Eastern Michigan,1999,135,65,Cleveland,Ohio,652,8.9,1.3,3.2,41.7,34.8,87.6,45.5,15.7,26
Derrick,Dial,Eastern Michigan,2000,184,76,Detroit,Michigan,82,3.1,1.6,0.8,37.2,19,67.2,38.6,12.2,0.6
Rodney,Stuckey,Eastern Washington,2007,210,77,Seattle,Washington,651,12.6,2.9,3.6,42.3,30,82.4,44.3,14.9,28.7
Jacob,Wiley,Eastern Washington,2017,215,79,Bellevue,Washington,5,0.8,2.2,0.4,25,50,50,37.5,8.2,0.1
Mike,Gale,Elizabeth City State University,1971,185,76,Philadelphia,Pennsylvania,842,7.4,2.9,3.7,46.4,18.7,78.1,46.6,12.4,34.6
Jesse,Branson,Elon University,1967,195,79,Burlgton,North Carolina,83,13.1,6.6,0.8,42.7,22.2,70.2,42.8,19.2,5.8
Deng,Gai,Fairfield,2005,250,81,Wau,South Sudan,2,0,0,0,-,-,-,-,0,0
Darrell,Armstrong,Fayetteville State University,1995,170,,Gastonia,North Carolina,840,9.2,2.7,4,40.9,33.4,87.1,48,16.3,49.8
Clay,Johnson,Florida A&amp;M,1978,240,82,Monticello,Florida,761,5.4,4.6,1,49.2,0,62.1,49.2,12.7,25.5
Jerome,James,Florida A&amp;M,1999,300,,Tampa,Florida,358,4.3,3.1,0.3,48.5,0,61.7,48.5,10.6,2.9
Carlos,Arroyo,Florida International University,2001,202,74,Fajardo,Puerto Rico,569,6.6,1.7,3.1,43.8,33.8,80.6,45.9,13.4,20.1
Raja,Bell,Florida International University,2001,204,77,St. Croix,U.S. Virgin Islands,706,9.9,2.8,1.7,43.4,40.6,79.9,51.4,10.9,32.7
Dave,Cowens,Florida State,1970,230,81,Newport,Kentucky,766,17.6,13.6,3.8,46,7.1,78.3,46,17,86.3
Harry,Davis,Florida State,1978,220,79,Cleveland,Ohio,44,4,1.6,0.4,43.6,-,68.9,43.6,10.3,0.3
Mickey,Dillard,Florida State,1981,170,75,Hollywood,Florida,33,2.2,0.5,1,36.7,0,65.2,36.7,7,-0.2
Mitchell,Wiggins,Florida State,1983,185,76,Lenoir County,North Carolina,389,10,3.2,1.6,46,19.2,75.5,46.2,13.8,15.2
George,McCloud,Florida State,1989,205,78,Daytona Beach,Florida,766,9,3.1,2.3,40.2,35.8,81,47.7,12.7,24.6
Randy,Allen,Florida State,1989,220,80,Milton,Florida,70,3.6,2.1,0.3,44.2,0,53.3,44.2,8.3,0.2
Irving,Thomas,Florida State,1990,225,80,Brooklyn,New York,26,1.8,1.2,0.4,34,-,57.1,34,7.3,-0.1
Tharon,Mayes,Florida State,1991,175,75,New Haven,Connecticut,24,4.1,0.7,1.5,30.3,36.6,66.7,37.9,6.4,-0.4
Tony,Dawson,Florida State,1991,215,79,Kston,North Carolina,6,2.8,0.8,0.2,46.7,50,100,53.3,11.6,0
Sam,Cassell,Florida State,1993,185,75,Baltimore,Maryland,993,15.7,3.2,6,45.4,33.1,86.1,48,19.5,87.5
Doug,Edwards,Florida State,1993,220,79,Miami,Florida,85,2.4,1.8,0.7,37.8,0,70.9,37.8,8.4,0.2
Charlie,Ward,Florida State,1994,190,74,Thomasville,Georgia,630,6.3,2.6,4,40.8,36.4,77.1,50.2,13.8,33
Bob,Sura,Florida State,1995,200,77,Wilkes-Barre,Pennsylvania,657,8.6,3.4,3.8,41.4,32.5,68.9,46,14.3,28.3
James,Collins,Florida State,1997,196,76,Jacksonville,Florida,23,2.6,0.6,0.1,38.2,45,57.1,46.4,15.3,0
Von,Wafer,Florida State,2005,210,77,Homer,Louisiana,200,5.3,1.2,0.7,42,32.5,75.1,47.5,11.8,3.3
Alexander,Johnson,Florida State,2006,240,81,Albany,Georgia,102,4.3,2.7,0.3,51.7,-,67.2,51.7,11.4,1.5
Al,Thornton,Florida State,2007,220,80,Perry,Georgia,296,11.9,4.2,1.2,45.2,29.3,74.7,46.5,12.3,6.1
Toney,Douglas,Florida State,2009,195,74,Jonesboro,Georgia,394,7.6,2.2,2.3,40.4,35.4,82.4,48.6,13.2,12.1
Solomon,Alabi,Florida State,2010,251,85,Kaduna,Nigeria,26,1.5,2.3,0.2,31.4,-,70,31.4,10.3,0
Chris,Singleton,Florida State,2011,230,80,Canton,Georgia,148,4.1,3.2,0.6,37.6,31.9,63.3,42.3,8.2,2.3
Ryan,Reid,Florida State,2012,232,80,Lauderdale Lakes,Florida,5,1.6,0.4,0,80,-,-,80,17.6,0.1
Bernard,James,Florida State,2012,240,82,Savannah,Georgia,92,2.2,2.3,0.1,49.7,0,68,49.7,13.8,1.9
Okaro,White,Florida State,2017,205,80,Clearwater,Florida,44,2.7,2.2,0.5,38.1,34,88,45.7,7.6,0.8
Xavier,Rathan-Mayes,Florida State,2018,208,76,Scarborough,Canada,5,5.8,1,3.6,28.6,7.1,44.4,29.8,0.9,-0.4
Vernon,Maxwell,Florida,1988,180,76,Gaesville,Florida,855,12.8,2.6,3.4,39.8,32,73.3,46.2,12.7,27.4
Clifford,Lett,Florida,1990,170,75,Pensacola,Florida,11,3.5,0.6,0.7,43.2,0,66.7,43.2,3.4,-0.1
Dwayne,Schintzius,Florida,1990,260,85,Brandon,Florida,217,2.7,2.5,0.4,40.4,12.5,63.8,40.5,9.4,1
Andrew,DeClercq,Florida,1996,230,82,Detroit,Michigan,587,4.8,4.2,0.6,50.7,0,62.1,50.7,12.1,19.3
Mike,Miller,Florida,2000,218,80,Mitchell,South Dakota,1032,10.6,4.2,2.6,45.9,40.7,76.9,55,14.3,60.7
Donnell,Harvey,Florida,2000,220,80,Shellman,Georgia,205,5.6,4,0.8,46,10,65.9,46,12.5,4.7
Matt,Bonner,Florida,2004,235,82,Concord,New Hampshire,792,5.8,3,0.7,46.4,41.4,78,57,13.6,38.5
Matt,Walsh,Florida,2005,205,78,Holland,Pennsylvania,2,1,0,0,100,-,0,100,-2.4,0
Taurean,Green,Florida,2007,177,,Fort Lauderdale,Florida,17,1.6,0.6,0.6,28,18.2,91.7,32,7,-0.1
Corey,Brewer,Florida,2007,186,81,Portland,Tennessee,814,8.7,2.8,1.5,42.5,28.4,71.3,46.5,11.8,22.5
Chris,Richard,Florida,2007,270,81,Lakeland,Florida,70,1.9,2.8,0.4,48.3,-,60.5,48.3,7.5,0.7
Marreese,Speights,Florida,2008,255,82,St. Petersburg,Florida,705,7.9,4.1,0.7,45.9,35.6,79.7,48.4,16.7,25.8
Vernon,Macklin,Florida,2011,227,82,Portsmouth,Virginia,23,2,1.5,0.2,54.3,-,57.1,54.3,18.2,0.5
Nick,Calathes,Florida,2013,213,78,Casselberry,Florida,129,4.6,1.9,2.7,44.1,28.8,58.1,46.8,12.3,2.6
Erik,Murphy,Florida,2013,230,82,Lyon,France,24,0.3,0.3,0.1,23.1,0,-,23.1,0.2,-0.1
Devin,Robinson,Florida,2018,200,80,Chesterfield,Virginia,8,6.1,3.1,0.8,57.1,0,64.3,57.1,19.4,0.4
Smush,Parker,Fordham,2002,190,76,New York,New York,274,9,2.4,2.9,42.6,34.5,70.8,49.4,11.7,7.4
Peter,Verhoeven,Fresno State,1981,215,81,Hanford,California,282,3.5,2.3,0.5,50.5,25,68.9,50.5,10.3,5.2
Rod,Higgins,Fresno State,1982,200,79,Monroe,Louisiana,779,9,3.6,1.6,46.5,34.2,80.8,49.8,13.5,37.8
Bernard,Thompson,Fresno State,1984,210,78,Phoenix,Arizona,204,5.3,1.7,1.3,43.9,0,78.9,43.9,10.2,3.4
Ron,Anderson,Fresno State,1984,215,79,Chicago,Illinois,664,10.6,3.5,1.4,47.1,28.7,81.4,47.9,14.3,24.2
Chris,Herren,Fresno State,1999,197,74,Fall River,Massachusetts,70,3.2,1,2.4,33.6,32.8,69.2,42.7,7.8,0.5
Rafer,Alston,Fresno State,2000,171,74,New York,New York,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9
Terrance,Roberson,Fresno State,2000,215,79,Sagaw,Michigan,3,0,0.3,0.3,0,0,-,0,-15,-0.1
Tito,Maddox,Fresno State,2002,190,76,Compton,California,9,1.2,0.8,0.6,25,0,62.5,25,11.2,0
Tremaine,Fowlkes,Fresno State,2002,220,80,Los Angeles,California,103,2.9,2.2,0.5,40.9,20,79.1,41.6,10.1,2.1
Chris,Jefferies,Fresno State,2002,225,80,Fresno,California,72,3.9,1.2,0.4,38.3,36.5,66.7,44.9,7.2,-0.5
Melvin,Ely,Fresno State,2002,260,82,Harvey,Illinois,375,5.3,3.2,0.7,46,0,62.5,46,10.6,4
Hiram,Fuller,Fresno State,2004,240,81,East St. Louis,Missouri,4,2,2.8,0.5,37.5,-,33.3,37.5,3.6,-0.1
Noel,Felix,Fresno State,2006,225,81,Los Angeles,California,12,1.5,1.1,0.2,24,33.3,62.5,26,-1.1,-0.3
Renaldo,Major,Fresno State,2007,200,79,Chicago,Illinois,1,5,2,0,20,-,50,20,-3.7,-0.1
Dominic,McGuire,Fresno State,2007,220,81,San Diego,California,342,2.7,3.4,1.2,41.9,18.8,65.8,42,9.8,4.1
John,Drew,Gardner-Webb University,1974,205,78,Vredenburgh,Alabama,739,20.7,6.9,1.7,47,17.5,74.8,47.1,20.7,68.9
Eddielee,Wilkins,Gardner-Webb University,1984,220,82,Cartersville,Georgia,322,4.8,3.1,0.2,47,0,56.4,47,10.2,2.5
Robert,Rose,George Mason,1989,180,77,Rochester,New York,2,0,1,0,0,-,-,0,5,0
Jason,Miskiri,George Mason,1999,175,74,Georgetown,Guyana,1,0,0,1,0,0,-,0,-12.4,0
Wally,Szczerbiak,George Washington,1971,210,78,Pittsburgh,Pennsylvania,53,6.3,2.8,0.8,62.9,0,66,62.9,19.6,2.2
Mike,Brown,George Washington,1986,257,81,Newark,New Jersey,626,5,4.4,0.7,45.5,12.5,69,45.5,9.7,15.9
Yinka,Dare,George Washington,1994,265,,Kano,Nigeria,110,2.1,2.6,0,39.6,-,57,39.6,6.2,-0.7
Pops,Mensah-Bonsu,George Washington,2006,240,81,London,United Kingdom,61,3,3,0.2,41,0,58.9,41,12.4,0.4
Mike,Hall,George Washington,2007,230,80,Chicago,Illinois,2,1,1,0.5,25,-,-,25,3.1,0
Patricio,Garino,George Washington,2017,210,78,Buenos Aires,Argentina,5,0,1.4,0,0,0,-,0,-9.2,-0.2
Tyler,Cavanaugh,George Washington,2017,238,81,Syracuse,New York,50,3.8,2.7,0.6,43.2,35.1,82.6,53.4,12.4,1.2
John,Duren,Georgetown,1980,195,75,Washgton,District of Columbia,201,3.5,1.1,2,43.5,12,75,43.7,6.9,-0.8
Craig,Shelton,Georgetown,1980,210,79,Washgton,District of Columbia,59,4.1,2.4,0.5,45.3,0,60,45.3,8.7,0
Sleepy,Floyd,Georgetown,1982,170,75,Gastonia,North Carolina,957,12.8,2.6,5.4,44.4,32.4,81.5,47,15.5,50.6
Bill,Martin,Georgetown,1985,205,79,Washgton,District of Columbia,84,4.7,1.6,0.7,44.9,0,81.3,44.9,10.4,0.3
Patrick,Ewing,Georgetown,1985,240,,Kgston,Jamaica,1183,21,9.8,1.9,50.4,15.2,74,50.5,21,126.4
David,Wingate,Georgetown,1986,185,77,Baltimore,Maryland,740,5.6,1.9,1.9,44.5,27.2,73.8,45.5,10,11.7
Reggie,Williams,Georgetown,1987,190,79,Baltimore,Maryland,599,12.5,4,2.5,43.7,29.8,78.4,46.4,14.2,26
Ben,Gillery,Georgetown,1988,235,,Detroit,Michigan,24,1,1,0.1,31.6,-,56.5,31.6,5,0
Jaren,Jackson,Georgetown,1989,190,76,New Orleans,Louisiana,431,5.5,1.8,1.2,39.1,35.3,76.4,46.9,10.1,11.5
Dikembe,Mutombo,Georgetown,1991,245,86,Kshasa,Democratic Republic of the Congo,1196,9.8,10.3,1,51.8,0,68.4,51.8,17.2,117
Alonzo,Mourning,Georgetown,1992,240,82,Chesapeake,Virginia,838,17.1,8.5,1.1,52.7,24.7,69.2,52.9,21.2,89.7
Don,Reid,Georgetown,1995,250,80,Washgton,District of Columbia,403,3.6,2.9,0.4,53,0,65.8,53,11.8,13.7
Allen,Iverson,Georgetown,1996,165,,Hampton,Virginia,914,26.7,3.7,6.2,42.5,31.3,78,45.2,20.9,99
Robert,Churchwell,Georgetown,1996,195,78,South Bend,Indiana,4,1.5,0.8,0.3,37.5,-,-,37.5,1.2,-0.1
Jerome,Williams,Georgetown,1996,206,81,Washgton,District of Columbia,587,6.6,6.4,0.8,50.2,3.8,64.5,50.2,15.9,37.9
Othella,Harrington,Georgetown,1996,235,81,Jackson,Mississippi,709,7.4,4.4,0.6,50.5,0,73.8,50.5,12.5,23.1
Jahidi,White,Georgetown,1999,290,81,St. Louis,Missouri,334,5.9,5.8,0.2,51,0,53.4,51,14.2,10.4
Ruben,Boumtje-Boumtje,Georgetown,2001,257,,Edea,Cameroon,44,1,1.3,0.1,36.8,-,55.6,36.8,6.4,0.2
Michael,Sweetney,Georgetown,2003,275,80,Oxon Hill,Maryland,233,6.5,4.5,0.6,48.5,0,68.9,48.5,15.1,7.8
Roy,Hibbert,Georgetown,2008,270,86,Queens,New York,662,10,6.3,1.3,46.5,25,75.5,46.5,15.5,35.9
DaJuan,Summers,Georgetown,2009,230,80,Baltimore,Maryland,83,3.3,1,0.3,38.4,36.7,64.2,43.8,7.1,-0.1
Greg,Monroe,Georgetown,2010,265,83,New Orleans,Louisiana,632,13.2,8.3,2.1,51.4,5.9,70.4,51.4,20.1,49.7
Hollis,Thompson,Georgetown,2013,206,80,Pasadena,California,265,7.7,3.1,1.1,41.3,38.6,70.7,51.4,9.6,6.5
Henry,Sims,Georgetown,2013,248,82,Baltimore,Maryland,135,7.6,5,1,47.1,17.4,76.7,47.3,15,4.6
Marcus,Derrickson,Georgetown,2018,249,79,Washgton,District of Columbia,11,4.2,1.2,0.1,48.5,50,80,63.6,19.4,0.2
Jeff,Sanders,Georgia Southern University,1989,225,80,Augusta,Georgia,55,2,1.9,0.5,39.5,-,60.9,39.5,7.1,-0.1
Michael,Curry,Georgia Southern University,1993,210,77,Anniston,Alabama,667,4.5,1.6,1.2,44.7,29.8,82.5,46.3,7.5,17.8
Lanard,Copeland,Georgia State University,1989,190,78,Atlanta,Georgia,33,2.7,0.5,0.4,41.8,14.3,81.3,42.3,8.2,-0.4
RJ,Hunter,Georgia State University,2015,185,77,Oxford,Ohio,45,3,1,0.4,37.1,29.5,81.8,47,8.4,0.4
Jim,Caldwell,Georgia Tech,1967,240,82,Durham,North Carolina,137,7.1,7.7,2,42.5,13.3,63.1,42.6,13.2,5.7
Brook,Steppe,Georgia Tech,1982,195,77,Chapel Hill,North Carolina,238,5.4,1.4,1.2,46.9,31,82,47.4,12.5,4.6
Yvon,Joseph,Georgia Tech,1985,245,83,Cap-Haitian,Haiti,1,2,0,0,-,-,100,-,12.8,0
Mark,Price,Georgia Tech,1986,170,,Bartlesville,Oklahoma,722,15.2,2.6,6.7,47.2,40.2,90.4,53,19.6,71.1
John,Salley,Georgia Tech,1986,230,83,Brooklyn,New York,748,7,4.5,1.2,50.6,21.4,71.4,50.6,12.8,41.5
Craig,Neal,Georgia Tech,1988,165,77,Muncie,Indiana,63,2.5,0.7,2.5,37.3,30.2,60,41.5,7,-0.4
Duane,Ferrell,Georgia Tech,1988,209,79,Baltimore,Maryland,583,6.4,1.9,0.9,48,28.8,75,48.7,12.9,15.7
Tom,Hammonds,Georgia Tech,1989,215,81,Fort Walton,Florida,687,5.3,3.3,0.6,48,0,69.1,48,11,14.7
Brian,Oliver,Georgia Tech,1990,210,76,Chicago,Illinois,118,3.3,1,1,38.8,22.7,70.5,39.4,8.1,-0.5
Dennis,Scott,Georgia Tech,1990,229,80,Hagerstown,Maryland,629,12.9,2.8,2.1,41.7,39.7,79.3,50.2,13.4,33.4
Kenny,Anderson,Georgia Tech,1991,168,,Queens,New York,858,12.6,3.1,6.1,42.1,34.6,79,44.9,16.4,62.5
Jon,Barry,Georgia Tech,1992,195,76,Oakland,California,821,5.7,1.8,2.2,43.4,39.2,84.8,52.4,14.7,37.2
Matt,Geiger,Georgia Tech,1992,243,,Salem,Massachusetts,552,9.2,5.7,0.7,49.9,23.2,72.8,50.1,15.2,28.4
Fred,Vinson,Georgia Tech,1994,190,76,Murfreesboro,North Carolina,13,1.3,0.1,0.1,25,23.1,66.7,31.3,-2,-0.2
Ivano,Newbill,Georgia Tech,1994,245,81,Sedalia,Missouri,134,1.5,2.6,0.4,39.4,100,43.3,39.6,7,1.1
Malcolm,Mackey,Georgia Tech,1994,248,81,Chattanooga,Tennessee,22,1.5,1.1,0,37.8,0,50,37.8,12.6,0.1
Travis,Best,Georgia Tech,1995,182,71,Sprgfield,Massachusetts,708,7.6,1.8,3.5,43.1,34.5,83.5,46,13.8,30.9
Stephon,Marbury,Georgia Tech,1996,180,74,Brooklyn,New York,846,19.3,3,7.6,43.3,32.5,78.4,47,18.7,77.5
Drew,Barry,Georgia Tech,1998,191,77,Oakland,California,60,2.2,1.1,1.9,41.7,38.1,77.4,53.4,9.8,0.6
Dion,Glover,Georgia Tech,1999,228,77,Marietta,Georgia,294,8.2,3.1,1.5,41.1,31.7,75.6,44.5,12.8,5.8
Matt,Harpring,Georgia Tech,1999,231,79,Ccnati,Ohio,665,11.5,5.1,1.4,48.1,33.3,75.3,49.4,15.3,41.9
Alvin,Jones,Georgia Tech,2001,265,83,Luxembourg,Luxembourg,23,1.1,1.6,0.1,40,-,50,40,6.2,0.1
Chris,Bosh,Georgia Tech,2003,235,83,Dallas,Texas,893,19.2,8.5,2,49.4,33.5,79.9,50.6,20.6,106
Jarrett,Jack,Georgia Tech,2005,200,75,Fort Washgton,Maryland,867,10.8,2.9,4.6,44,34.3,85.5,48,14.1,36.8
Will,Bynum,Georgia Tech,2006,185,,Chicago,Illinois,360,8.1,1.6,3.3,44.2,27.2,79.9,45.8,14.6,7
Luke,Schenscher,Georgia Tech,2006,255,85,Hope Forest,Australia,31,1.8,1.7,0.3,46.9,-,45,46.9,6.9,0.3
Javaris,Crittenton,Georgia Tech,2007,200,77,Atlanta,Georgia,113,5.3,2.4,1.8,44.2,23.1,63.8,45.4,10.6,0.1
Anthony,Morrow,Georgia Tech,2008,210,77,Charlotte,North Carolina,564,9.4,2.2,0.9,44.7,41.7,88,53.9,13.2,23.2
Gani,Lawal,Georgia Tech,2010,234,81,College Park,Georgia,1,0,0,0,-,-,-,-,-9.1,0
Marcus,Georges-Hunt,Georgia Tech,2017,216,77,Miami,Florida,47,1.6,0.5,0.2,41.8,29.4,71,46.4,7.5,0.3
Tim,Bassett,Georgia,1973,225,80,Washgton,District of Columbia,473,6.2,6.7,1.2,42.3,28.6,58.8,42.4,10.2,12.9
Jacky,Dorsey,Georgia,1977,230,79,Atlanta,Georgia,60,2.4,2.4,0.3,38.9,-,54.4,38.9,8.4,0.3
Dominique,Wilkins,Georgia,1982,215,80,Paris,France,1074,24.8,6.7,2.5,46.1,31.9,81.1,47.8,21.6,117.5
Vern,Fleming,Georgia,1984,185,77,New York,New York,893,11.3,3.4,4.8,49.8,18.1,76.4,50.1,15.1,52
Cedric,Henderson,Georgia,1986,210,80,Marietta,Georgia,8,1.4,1,0,50,-,100,50,15.3,0
Willie,Anderson,Georgia,1988,190,79,Greenville,South Carolina,555,12.2,3.8,3.8,47.1,26.6,78.6,47.9,13.8,27.9
Alec,Kessler,Georgia,1990,230,83,Mneapolis,Minnesota,210,5.2,3.6,0.4,42.6,41.7,74.4,43.1,9.6,2
Litterial,Green,Georgia,1992,185,73,Pascagoula,Mississippi,148,2.9,0.5,1.2,42,7.7,66.5,42.3,11.6,1.6
Charles,Claxton,Georgia,1995,265,,St. Thomas,U.S. Virgin Islands,3,0.7,0.7,0,50,-,0,50,0.2,0
Shandon,Anderson,Georgia,1996,208,78,Atlanta,Georgia,719,7.4,3.1,1.4,45.7,31.6,73.9,49.2,11.7,23.6
Jumaine,Jones,Georgia,1999,218,80,Cocoa,Florida,471,7.1,4.2,0.9,42.4,34.9,70.4,49.4,12.5,15.1
Jarvis,Hayes,Georgia,2003,220,79,Atlanta,Georgia,427,8.3,3.1,1.1,41.5,35.6,79.8,47.4,10.8,10.2
Sundiata,Gaines,Georgia,2010,185,73,Jamaica,New York,113,4.5,1.5,1.8,39.7,30.1,56.2,44.5,14.5,1.4
Travis,Leslie,Georgia,2011,205,76,Atlanta,Georgia,10,1.4,0.9,0.5,35.7,-,44.4,35.7,14.6,0.1
Yante,Maten,Georgia,2019,240,80,Pontiac,Michigan,2,1,1.5,0,25,0,-,25,5.7,0
John,Stockton,Gonzaga,1984,170,73,Spokane,Washington,1504,13.1,2.7,10.5,51.5,38.4,82.6,54.6,21.8,207.7
Mike,Champion,Gonzaga,1989,230,82,Everett,Washington,2,0,0,0,0,0,-,0,-43.7,-0.1
Dan,Dickau,Gonzaga,2002,190,,Portland,Oregon,300,5.8,1.4,2.5,40.1,34.1,83.1,46,12.9,5.9
Richie,Frahm,Gonzaga,2003,210,77,Battle Ground,Washington,140,3.6,1.2,0.6,41.1,35.6,81,52.1,12,2.8
Adam,Morrison,Gonzaga,2006,205,80,Glendive,Montana,161,7.5,2.1,1.4,37.3,33.1,71,42.3,7.4,-1.4
Ronny,Turiaf,Gonzaga,2006,249,82,Le Robert,Martinique,473,4.7,3.7,1.3,53.3,0,63.6,53.3,13.8,19.2
Austin,Daye,Gonzaga,2009,220,83,Irve,California,293,5.2,2.6,0.7,40.2,35.1,77.8,46.9,11.6,4.5
Robert,Sacre,Gonzaga,2012,270,,Baton Rouge,Louisiana,189,4.2,3.1,0.7,43.6,0,67.1,43.6,10.8,2.4
Elias,Harris,Gonzaga,2013,239,80,Speyer,Germany,2,0,0.5,0.5,0,-,-,0,7.6,0
David,Stockton,Gonzaga,2015,165,71,Spokane,Washington,6,3,0.3,1.5,44.4,60,70,61.1,15.7,0.1
Kyle,Wiltjer,Gonzaga,2016,240,82,Portland,Oregon,14,0.9,0.7,0.1,28.6,30.8,50,42.9,6.7,0
Jimmy,Jones,Grambling State University,1967,188,76,Tallulah,Louisiana,686,16.6,4.3,4.5,50.9,25,78.5,51,17.1,78.8
Will,Frazier,Grambling State University,1967,210,79,Mden,Louisiana,153,9.8,7.1,1.1,41.5,50,61,41.5,14.8,4.6
Bob,Christian,Grambling State University,1969,255,82,</span,],248,3.8,4.1,0.8,48.5,-,70.4,48.5,12.3,5.7
Rich,Johnson,Grambling State University,1970,210,79,</span,],135,5,3.1,0.4,46.1,-,63.3,46.1,11.2,2.2
Larry,Wright,Grambling State University,1976,160,73,Monroe,Louisiana,343,8.2,1.6,3.4,46.5,26.1,77.7,46.6,13.1,10.6
Horacio,Llamas,Grand Canyon University,1997,285,83,El Rosario,Mexico,28,2.1,1.3,0.2,46.9,33.3,61.1,48,10,0
Tony,Bennett,Green Bay,1992,175,,Green Bay,Wisconsin,152,3.5,1,2,41.2,33.5,73.2,46.4,9.5,1.6
Log,Vander Velden,Green Bay,1995,215,80,Valders,Wisconsin,15,0.6,0.4,0.1,21.4,0,75,21.4,1.8,-0.1
Jeff,Nordgaard,Green Bay,1997,225,79,Dawson,Minnesota,13,1.4,1.1,0.2,27.8,-,88.9,27.8,11.6,0
World,Free,Guilford College,1975,185,74,Atlanta,Georgia,886,20.3,2.7,3.7,45.6,33.7,75.3,46.3,18.8,67.7
Rick,Mahorn,Hampton,1980,240,82,Hartford,Connecticut,1117,6.9,6.2,1,49.3,13.2,70.4,49.3,11.6,51.7
Devin,Green,Hampton,2005,210,79,Columbus,Ohio,27,0.9,0.9,0.3,21.4,0,61.9,21.4,4.7,-0.1
Harvey,Catchings,Hardin-Simmons University,1974,218,81,Jackson,Mississippi,725,3.2,5,0.8,43.5,0,64.7,43.5,9.6,21.2
Jeremy,Lin,Harvard University,2010,200,75,Torrance,California,480,11.6,2.8,4.3,43.3,34.2,80.9,48.5,15.3,23.5
Tom,Henderson,Hawaii,1974,190,75,Newberry,South Carolina,650,9.4,2.3,4.8,43.3,0,73.9,43.3,12.8,22.1
Bob,Nash,Hawaii,1975,195,80,Hartford,Connecticut,236,4.7,2.3,0.7,42.9,0,72.9,42.9,11.1,2.4
Trevor,Ruffin,Hawaii,1994,185,73,Buffalo,New York,110,9.2,1.4,2.9,41.1,37.1,79.5,49.5,14.9,1.3
Anthony,Carter,Hawaii,1999,190,73,Milwaukee,Wisconsin,623,4.8,2.1,3.8,40.4,25,70.6,42.3,10.8,10.4
Predrag,Savovic,Hawaii,2002,225,78,Pula,Croatia,27,3.1,0.9,0.8,31.2,15.4,72.4,33.3,6,-0.2
Speedy,Claxton,Hofstra,2001,166,71,Queens,New York,334,9.3,2.5,4.3,40.9,19.3,76.2,41.7,14.5,14.2
Norman,Richardson,Hofstra,2002,190,77,Brooklyn,New York,11,2.7,0.7,0.2,38.5,50,66.7,46.2,10.3,0
Charles,Jenkins,Hofstra,2011,220,75,Brooklyn,New York,110,3.7,0.9,1.9,43.4,18.2,75.4,43.9,10.7,0.5
Garry,Witts,Holy Cross,1981,190,79,Elizabeth,New Jersey,46,2.9,1.3,0.8,58.3,50,82.5,58.9,9.5,1.1
Elvin,Hayes,Houston,1968,235,81,Rayville,Louisiana,1303,21,12.5,1.8,45.2,14.7,67,45.2,17.7,120.8
Dwayne,Jones,Houston,1973,210,82,Houston,Texas,766,8.1,5.9,1.2,47.1,50,74,47.2,13.2,27.6
Don,Chaney,Houston,1975,210,77,Baton Rouge,Louisiana,790,8.4,4,2.2,43.6,20,77.6,43.7,11.6,36.3
Otis,Birdsong,Houston,1977,190,75,Wter Haven,Florida,696,18,3,3.2,50.6,27.4,65.5,50.9,16.5,48.2
