fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws,,,
Ike,Diogu,Arizona State,2005,250lb,80,Buffalo,New York,225,6,3.1,0.3,50.9,50,78.6,51,15.6,6.5,,,
Joey,Dorsey,Memphis,2008,268lb,80,Baltimore,Maryland,130,2.6,3.9,0.4,53.4,0,37.5,53.4,12.1,2.9,,,
Craig,Dykema,Cal State Long Beach,1981,190lb,80,Lakewood,California,32,1.3,0.4,0.5,45.9,50,77.8,48.6,11.1,0.2,,,
Cleanthony,Early,Wichita State,2014,210lb,80,Middletown,New York,56,4.3,2.2,0.8,34.6,26.3,75,39.8,7.2,-0.6,,,
Kent,Edelin,Virginia,1985,205lb,80,Heidelburg,Germany,10,1.1,2.6,1,30.8,-,37.5,30.8,3.3,0.1,,,
Bill,Edwards,Wright State University,1994,215lb,80,Middletown,Ohio,3,2,4.7,1.3,11.1,0,40,11.1,-0.4,-0.3,,,
Vincent,Edwards,Purdue,2018,225lb,80,Middletown,Ohio,2,1.5,1,0,25,25,-,37.5,3.8,0,,,
Sean,Elliott,Arizona,1989,205lb,80,Tucson,Arizona,742,14.2,4.3,2.6,46.5,37.5,79.9,50,13.9,55.7,,,
LaPhonso,Ellis,Notre Dame,1992,240lb,80,East St. Louis,Illinois,624,11.9,6.5,1.6,45.2,30.2,73,47.1,14.6,32.8,,,
Wayne,Englestad,"University of California, Irvine",1988,245lb,80,Rosemead,California,11,2.5,1.5,0.6,37.9,-,60,37.9,12.4,0,,,
Brian,Evans,Indiana,1997,220lb,80,Rockford,Illinois,102,3.7,1.6,0.8,38.1,34.3,82,43,11.8,1.7,,,
Earl,Evans,UNLV,1979,202lb,80,Port Arthur,Texas,36,4.4,2.1,1,45,38.9,57.1,47.5,10.3,0.1,,,
Reggie,Evans,Iowa,2002,245lb,80,Pensacola,Florida,809,4.1,7.1,0.6,46.5,9.1,52.8,46.6,11.7,27.1,,,
John,Fairchild,BYU,1967,205lb,80,Encitas,California,165,6.6,3.2,0.7,40.4,36.8,68.1,41,11.9,1.8,,,
Kenneth,Faried,Morehead State University,2011,220lb,80,Newark,New Jersey,478,11.4,8.1,1,54.6,22.2,65.4,54.8,19.7,38.8,,,
Bruce,Flowers,Notre Dame,1982,225lb,80,Rochester,New York,53,4.9,3.4,0.9,53.4,0,77.4,53.4,15.2,1.7,,,
Tremaine,Fowlkes,Fresno State,2002,220lb,80,Los Angeles,California,103,2.9,2.2,0.5,40.9,20,79.1,41.6,10.1,2.1,,,
John,Garris,Boston College,1983,205lb,80,Bridgeport,Connecticut,33,4,2.3,0.3,51,-,79.4,51,18.5,0.9,,,
Kenny,Gattison,Old Dominion,1986,225lb,80,Wilmgton,North Carolina,494,7.9,4.7,0.9,52,8.3,64.9,52,13,16.9,,,
Devean,George,Augsburg College,1999,220lb,80,Mneapolis,Minnesota,630,5.6,3.1,0.9,39.2,34.3,72.1,45.6,10.6,18.2,,,
Gus,Gerard,Virginia,1974,200lb,80,Uniontown,Pennsylvania,446,8.4,4.1,1.3,43.8,27.3,69.6,43.9,13.8,11.1,,,
Derrick,Gervin,Texas-San Antonio,1990,200lb,80,Detroit,Michigan,77,8.8,2.3,0.5,43.5,22.6,76.4,44.1,16.3,2.1,,,
Orlando,Graham,Auburn University at Montgomery,1989,220lb,80,Montgomery,Alabama,7,1.1,1.6,0,30,-,50,30,6.7,0,,,
Harvey,Grant,Oklahoma,1988,195lb,80,Augusta,Georgia,783,9.9,4.4,1.6,46.9,26.7,70.9,47.3,12.7,36.4,,,
Donte,Grantham,Clemson,2019,215lb,80,Martsburg,West Virginia,3,0,0,0,0,0,-,0,-38.1,0,,,
Ken,Green,University of Texas-Pan American,1986,215lb,80,Newman,Georgia,7,4.4,3.9,0.3,48.1,-,55.6,48.1,19.3,0.3,,,
Kenny,Green,University of Texas-Pan American,1986,215lb,80,Newman,Georgia,7,4.4,3.9,0.3,48.1,-,55.6,48.1,19.3,0.3,,,
Claude,Gregory,Wisconsin,1986,205lb,80,Washgton,District of Columbia,25,5.4,3.9,0.6,45.6,0,33.3,45.6,12.9,0,,,
Mike,Hall,George Washington,2007,230lb,80,Chicago,Illinois,2,1,1,0.5,25,-,-,25,3.1,0,,,
Dennis,Hamilton,Arizona State,1969,210lb,80,Huntgton Beach,California,144,4.6,3.1,0.8,51.1,0,77.3,51.1,12.2,4,,,
Tang,Hamilton,Mississippi State,2001,220lb,80,Jackson,Mississippi,9,2.2,2,0.6,52.6,0,0,52.6,10.9,0.2,,,
Reggie,Hanson,Kentucky,1998,195lb,80,Charlotte,North Carolina,8,0.8,0.8,0.1,50,-,-,50,6.9,0,,,
Luke,Harangody,Notre Dame,2010,246lb,80,Decatur,Illinois,70,3.6,2.8,0.5,37.6,24.1,73.7,41.5,10.2,0.9,,,
James,Hardy,San Francisco,1978,220lb,80,Knoxville,Alabama,249,5.7,5.3,1.3,48.1,33.3,70,48.2,11.4,6.3,,,
Elias,Harris,Gonzaga,2013,239lb,80,Speyer,Germany,2,0,0.5,0.5,0,-,-,0,7.6,0,,,
Donnell,Harvey,Florida,2000,220lb,80,Shellman,Georgia,205,5.6,4,0.8,46,10,65.9,46,12.5,4.7,,,
Connie,Hawkins,Iowa,1967,210lb,80,Brooklyn,New York,616,18.7,8.8,4.1,47.9,16.1,77.9,48,19.9,76.7,,,
Nigel,Hayes,Wisconsin,2018,254lb,80,Westerville,Ohio,9,3,2.4,0.7,33.3,25,33.3,39.4,6.4,-0.1,,,
Spencer,Haywood,Detroit Mercy,1969,225lb,80,Silver City,Mississippi,844,20.3,10.3,1.8,46.9,5.3,79.6,46.9,19.1,78.5,,,
Alvin,Heggs,Texas,1995,225lb,80,Jacksonville,Florida,4,2,0.5,0,60,-,66.7,60,20.7,0.1,,,
Cedric,Henderson,Georgia,1986,210lb,80,Marietta,Georgia,8,1.4,1,0,50,-,100,50,15.3,0,,,
Wayne,Hightower,Kansas,1967,192lb,80,Philadelphia,Pennsylvania,565,11.6,7,1.7,38.1,0,75.2,38.1,13.1,18.8,,,
Grant,Hill,Duke,1994,225lb,80,Dallas,Texas,1026,16.7,6,4.1,48.3,31.4,76.9,49.2,19,99.9,,,
Tyler,Honeycutt,UCLA,2011,188lb,80,Los Angeles,California,24,1.2,1,0.4,31.4,20,71.4,32.9,8.1,-0.1,,,
Derek,Hood,Arkansas,1999,222lb,80,Kansas City,Missouri,2,0,0.5,0,0,-,-,0,-24.2,-0.1,,,
Cedrick,Hordges,South Carolina,1980,220lb,80,Montgomery,Alabama,145,7.6,5.9,1.2,47.5,18.8,63.9,47.7,10.6,2.2,,,
Ed,Horton,Iowa,1989,230lb,80,Sprgfield,Illinois,45,4.5,2.4,0.4,49.4,0,60.9,49.4,14.5,0.4,,,
Tom,Hovasse,Penn State,1994,205lb,80,Durango,Colorado,2,0,0,0,0,0,-,0,0.2,0,,,
Phil,Hubbard,Michigan,1979,215lb,80,Canton,Ohio,665,10.9,5.3,1.3,49.5,3.8,70.6,49.5,13.9,29,,,
Robbie,Hummel,Purdue,2013,215lb,80,Valparaiso,Indiana,98,3.9,2.7,0.5,41.8,34.3,86.7,48.7,9.6,1.9,,,
Ryan,Humphrey,Notre Dame,2002,235lb,80,Tulsa,Oklahoma,85,2.3,2.2,0.2,34.4,0,53.9,34.4,6.6,-0.4,,,
Othello,Hunter,Ohio State,2008,225lb,80,Wston-Salem,North Carolina,23,1.4,1.6,0,46.9,-,33.3,46.9,11,0.2,,,
Vincent,Hunter,Texas-El Paso,2017,208lb,80,Detroit,Michigan,4,1.5,0.8,0,60,-,-,60,35.8,0,,,
Marc,Iavaroni,Virginia,1982,210lb,80,Jamaica,New York,531,4.4,3.2,1,45.9,0,71,45.9,7.9,8,,,
Phil,Jackson,University of North Dakota,1967,220lb,80,Deer Lodge,Montana,807,6.7,4.3,1.1,45.3,0,73.6,45.3,12.5,29.3,,,
Henry,James,St. Mary's University,1991,220lb,80,Centreville,Alabama,212,6.1,1.5,0.4,41.4,37.8,81,48.1,11.3,3.5,,,
Antawn,Jamison,UNC,1999,223lb,80,Shreveport,Louisiana,1083,18.5,7.5,1.6,45.1,34.6,72.4,48.5,18.1,87.8,,,
Harold,Jamison,Clemson,1999,260lb,80,Orangeburg,South Carolina,37,1.9,1.6,0.3,46,-,42.4,46,11.7,0.4,,,
Abdul,Jeelani,University of Wisconsin-Parkside,1979,210lb,80,Bells,Tennessee,143,9,3.5,1.1,47.3,0,80.2,47.3,17.2,5.4,,,
Chris,Jefferies,Fresno State,2002,225lb,80,Fresno,California,72,3.9,1.2,0.4,38.3,36.5,66.7,44.9,7.2,-0.5,,,
Eddie,Johnson,Tennessee State,1968,205lb,80,Atlanta,Georgia,166,12.3,10.2,1.1,47.4,33.3,55.4,47.4,14,8.5,,,
Eddie,Johnson,Tennessee State,1968,205lb,80,Atlanta,Georgia,166,12.3,10.2,1.1,47.4,33.3,55.4,47.4,14,8.5,,,
Eddie,Johnson,Tennessee State,1968,205lb,80,Atlanta,Georgia,166,12.3,10.2,1.1,47.4,33.3,55.4,47.4,14,8.5,,,
Eddie,Johnson,Tennessee State,1968,205lb,80,Atlanta,Georgia,166,12.3,10.2,1.1,47.4,33.3,55.4,47.4,14,8.5,,,
Ivan,Johnson,Cal State San Bernardino,2011,230lb,80,San Antonio,Texas,125,6.5,3.9,0.6,51.7,15.8,66.2,51.9,15.1,4.5,,,
Keldon,Johnson,Michigan State,1985,240lb,80,Tuskegee,Alabama,64,4.1,3.8,0.3,52.8,-,43.5,52.8,9.3,0.8,,,
Ken,Johnson,Michigan State,1985,240lb,80,Tuskegee,Alabama,64,4.1,3.8,0.3,52.8,-,43.5,52.8,9.3,0.8,,,
Ken,Johnson,Michigan State,1985,240lb,80,Tuskegee,Alabama,64,4.1,3.8,0.3,52.8,-,43.5,52.8,9.3,0.8,,,
Kevin,Johnson,Michigan State,1985,240lb,80,Tuskegee,Alabama,64,4.1,3.8,0.3,52.8,-,43.5,52.8,9.3,0.8,,,
Linton,Johnson,Tulane,2003,205lb,80,Chicago,Illinois,151,3.9,3.3,0.4,41.6,30.5,69.9,44.4,10.9,2.6,,,
Stanley,Johnson,Murray State,1967,220lb,80,Clairton,Pennsylvania,647,16.3,6.6,1.5,42.3,30.8,78.8,43.5,15,11.8,,,
Steffond,Johnson,Murray State,1967,220lb,80,Clairton,Pennsylvania,647,16.3,6.6,1.5,42.3,30.8,78.8,43.5,15,11.8,,,
Steve,Johnson,Murray State,1967,220lb,80,Clairton,Pennsylvania,647,16.3,6.6,1.5,42.3,30.8,78.8,43.5,15,11.8,,,
Nate,Johnston,University of Tampa,1989,210lb,80,Birmgham,Alabama,21,2.2,1.1,0,37.5,25,69.2,38.5,14.1,0.1,,,
Derrick,Jones Jr.,Miami (FL),2012,221lb,80,Stone Mounta,Georgia,63,3.7,1.7,0.3,43.6,25.7,66.7,45.6,8.4,0.1,,,
DeQuan,Jones,Miami (FL),2012,221lb,80,Stone Mounta,Georgia,63,3.7,1.7,0.3,43.6,25.7,66.7,45.6,8.4,0.1,,,
Dominique,Jones,Mississippi State,1997,220lb,80,Nashville,Tennessee,15,2.9,0.6,0.3,33.3,26.1,-,38.6,3.8,-0.3,,,
Dontae',Jones,Mississippi State,1997,220lb,80,Nashville,Tennessee,15,2.9,0.6,0.3,33.3,26.1,-,38.6,3.8,-0.3,,,
Jumaine,Jones,Georgia,1999,218lb,80,Cocoa,Florida,471,7.1,4.2,0.9,42.4,34.9,70.4,49.4,12.5,15.1,,,
Kevin,Jones,West Virginia,2012,251lb,80,Mount Vernon,New York,32,3,2.4,0.3,40.2,-,60,40.2,11.1,0.2,,,
Popeye,Jones,Murray State,1993,250lb,80,Dresden,Tennessee,535,7,7.4,1.3,44.7,28.1,75.1,45,13.3,22,,,
Jason,Kapono,UCLA,2003,213lb,80,Long Beach,California,509,6.7,1.7,0.8,44.2,43.4,83.5,51.7,10.5,10.3,,,
Chris,King,Wake Forest,1993,215lb,80,Newton Grove,North Carolina,103,6.7,3,1.1,42.3,38.3,63.3,45.9,10.6,1,,,
Linas,Kleiza,Missouri,2005,245lb,80,Kaunas,Lithuania,409,8.7,3.6,0.8,43.5,33.5,76.3,50.2,12.4,13.6,,,
Mark,Landsberger,Arizona State,1977,215lb,80,Mot,North Dakota,437,5.6,6.1,0.5,48.1,0,52.2,48.1,12.8,12.2,,,
Stephane,Lasme,UMass,2007,215lb,80,Port-Gentil,Gabon,16,5.2,3.3,0.2,45.1,-,59.4,45.1,11.7,0.3,,,
Cliff,Levingston,Wichita State,1982,210lb,80,San Diego,California,830,7.1,5.2,0.9,51.6,15.2,67.6,51.6,13.8,44.2,,,
Marcus,Liberty,Illinois,1990,205lb,80,Chicago,Illinois,267,7.3,3.5,0.9,41.7,34,66.4,43.5,12.2,4,,,
Ian,Lockhart,Tennessee,1990,240lb,80,Nassau,Bahamas,1,4,0,0,100,-,100,100,76.3,0,,,
Grant,Long,Eastern Michigan,1988,225lb,80,Wayne,Michigan,1003,9.5,6.1,1.7,46.7,28.3,76.1,47.2,13.3,60.1,,,
George,Lynch,UNC,1993,218lb,80,Roanoke,Virginia,774,6.6,5,1.4,44.6,30.6,65.2,46.2,12.8,32.3,,,
Dave,Magley,Kansas,1982,202lb,80,South Bend,Indiana,14,0.9,0.7,0.1,25,0,50,25,3.9,-0.1,,,
Jamal,Mashburn,Kentucky,1993,240lb,80,New York,New York,611,19.1,5.4,4,41.8,34.5,76.6,45.6,15.7,43.7,,,
Yante,Maten,Georgia,2019,240lb,80,Pontiac,Michigan,2,1,1.5,0,25,0,-,25,5.7,0,,,
Marlon,Maxey,Texas-El Paso,1992,250lb,80,Chicago,Illinois,98,4.9,3.7,0.2,54.2,0,68.5,54.2,15.6,2.6,,,
Cedric,Maxwell,UNC Charlotte,1977,205lb,80,Kston,North Carolina,835,12.5,6.3,2.2,54.6,5.3,78.4,54.6,16.4,78.5,,,
Mel,McCants,Purdue,1989,240lb,80,Chicago,Illinois,13,1.7,0.5,0.2,30.8,-,75,30.8,5.1,0,,,
Ben,McDonald,"University of California, Irvine",1986,210lb,80,Torrance,California,176,6,3.2,1.3,46.8,22.7,72.7,47.3,8.3,2.5,,,
Ivan,McFarlin,Oklahoma State,2006,240lb,80,Missouri City,Texas,11,1.4,1,0.1,38.5,0,71.4,38.5,12.2,0.1,,,
George,McGinnis,Indiana,1971,235lb,80,Harpersville,Alabama,842,20.2,11,3.7,45.8,27.3,66.4,46.1,20,74.6,,,
Roshown,McLeod,Duke,1999,221lb,80,Jersey City,New Jersey,113,7.2,2.7,1.1,40.9,11.1,81.9,41.2,10.1,0.2,,,
Dave,Meyers,UCLA,1975,215lb,80,San Diego,California,281,11.2,6.3,2.3,46.1,20,67.6,46.1,14.1,13.4,,,
Jordan,Mickey,LSU,2015,235lb,80,Dallas,Texas,64,2.4,2,0.3,44.9,11.8,60.5,45.7,10.9,0.5,,,
Mike,Miller,Florida,2000,218lb,80,Mitchell,South Dakota,1032,10.6,4.2,2.6,45.9,40.7,76.9,55,14.3,60.7,,,
Wayne,Molis,Lewis,1967,230lb,80,Chicago,Illinois,59,4.7,3.3,0.7,41.7,66.7,64.9,42,17.8,1,,,
Jamario,Moon,Meridian Community College,2007,205lb,80,Goodwater,Alabama,286,6.3,4.3,1,46.1,32.9,80.3,51.8,13.1,14.3,,,
Ben,Moore,SMU,2018,220lb,80,Bolgbrook,Illinois,2,0,0.5,0.5,-,-,-,-,-2.3,0,,,
Guy,Morgan,Wake Forest,1982,205lb,80,Virgia Beach,Virginia,8,1.9,2.1,0.9,29.2,-,25,29.2,9.9,-0.1,,,
Chris,Morris,Auburn,1988,210lb,80,Atlanta,Georgia,747,11,4.7,1.6,44.1,30.6,73.9,47.5,15.1,37.4,,,
Isaiah,Morris,Arkansas,1992,229lb,80,Richmond,Virginia,25,2.2,0.5,0.2,45.6,-,75,45.6,10.6,0,,,
Adam,Morrison,Gonzaga,2006,205lb,80,Glendive,Montana,161,7.5,2.1,1.4,37.3,33.1,71,42.3,7.4,-1.4,,,
Erwin,Mueller,San Francisco,1973,230lb,80,Livermore,California,445,7.4,4.7,2,42.6,-,62.3,42.6,11.1,9.1,,,
Eduardo,Najera,Oklahoma,2000,240lb,80,Meoqui,Mexico,619,4.9,3.7,0.8,48.1,31.1,67.1,50.3,12,24.7,,,
Bob,Nash,Hawaii,1975,195lb,80,Hartford,Connecticut,236,4.7,2.3,0.7,42.9,0,72.9,42.9,11.1,2.4,,,
Demetris,Nichols,Syracuse,2007,216lb,80,Boston,Massachusetts,18,1.2,0.4,0.1,28.1,20,50,32.8,0.7,-0.2,,,
Ken,Norman,Illinois,1987,215lb,80,Chicago,Illinois,646,13.5,6.1,2.1,48.6,31.2,56.7,50.1,14.5,27.1,,,
Charles,Oakley,Virginia Union University,1985,225lb,80,Cleveland,Ohio,1282,9.7,9.5,2.5,47.1,25.3,76.1,47.4,13.4,89.7,,,
Mark,Olberding,Minnesota,1975,225lb,80,Melrose,Minnesota,946,9.5,5.3,2.5,49.2,12.2,80.8,49.2,12.6,48,,,
Louis,Orr,Syracuse,1980,175lb,80,Ccnati,Ohio,569,9.7,3.7,1.5,46.8,8.3,78.7,46.8,13.4,25.7,,,
Bo,Outlaw,Houston,1994,210lb,80,San Antonio,Texas,914,5.4,4.9,1.6,56.7,7.9,52.1,56.8,14.2,50.8,,,
Billy,Owens,Syracuse,1991,220lb,80,Carlisle,Pennsylvania,600,11.7,6.7,2.8,48.1,29.1,62.9,48.8,14.4,28.6,,,
Myles,Patrick,Auburn,1980,220lb,80,Macon,Georgia,3,1.7,0.7,0.3,40,-,50,40,6.9,0,,,
Kenny,Payne,Louisville,1989,195lb,80,Laurel,Mississippi,144,3.5,1.2,0.4,41,29.3,85.9,42.6,10.3,-0.1,,,
Chuck,Person,Auburn,1986,220lb,80,Brantley,Alabama,943,14.7,5.1,2.8,45.8,36.2,72.3,50.8,13.7,38.9,,,
John,Pinone,Villanova,1983,230lb,80,Hartford,Connecticut,7,2.9,1.4,0.4,53.8,-,60,53.8,7.8,0.1,,,
Scottie,Pippen,University of Central Arkansas,1987,210lb,80,Hamburg,Arkansas,1178,16.1,6.4,5.2,47.3,32.6,70.4,50.4,18.6,125.1,,,
Charlie,Pittman,Maryland,1983,220lb,80,Rocky Mount,North Carolina,234,4.5,3.1,0.9,54.6,0,71.1,54.6,10.1,4.2,,,
James,Posey,Xavier,1999,215lb,80,Cleveland,Ohio,864,8.6,4.7,1.6,41,34.9,82,49.5,12.4,51.6,,,
Leon,Powe,California,2006,240lb,80,Berkeley,California,239,6.2,3.8,0.3,51.5,0,68.2,51.5,16.8,12,,,
Brian,Quinnett,Washington State,1989,235lb,80,Pullman,Washington,138,3.4,1.6,0.6,41.4,32.6,67.7,44.3,8.4,0.9,,,
Kurt,Rambis,Santa Clara,1981,213lb,80,Cuperto,California,880,5.2,5.6,1.1,53.4,0,68.9,53.4,13.1,38.3,,,
Mark,Randall,Kansas,1991,235lb,80,Eda,Minnesota,127,2.6,1.3,0.4,44.3,15.4,72.2,45.3,11.6,1,,,
Leo,Rautins,Syracuse,1983,215lb,80,Toronto,Canada,32,1.5,1.1,1,35,-,60,35,5.8,-0.1,,,
Jamesearl,Ray,Jacksonville University,1980,215lb,80,New Orleans,Louisiana,103,3.2,2.2,0.7,42.8,33.3,62.9,42.9,10,-0.3,,,
Justin,Reed,Ole Miss,2004,240lb,80,Jackson,Mississippi,136,3.5,1.4,0.5,40.4,0,75.2,40.4,8,0.5,,,
Don,Reid,Georgetown,1995,250lb,80,Washgton,District of Columbia,403,3.6,2.9,0.4,53,0,65.8,53,11.8,13.7,,,
Robert,Reid,St. Mary's University,1977,205lb,80,Atlanta,Georgia,919,11.4,4.5,2.7,45.8,29.1,73.2,46.3,13.1,40.3,,,
Ryan,Reid,Florida State,2012,232lb,80,Lauderdale Lakes,Florida,5,1.6,0.4,0,80,-,-,80,17.6,0.1,,,
Jerry,Reynolds,LSU,1985,200lb,80,Brooklyn,New York,443,9.1,3,2,41.8,22.6,74.9,42.2,15,10.5,,,
Marv,Roberts,Utah State University,1971,200lb,80,Brooklyn,New York,402,8.3,3.9,1.3,43.3,33.3,77.3,43.4,12.3,11.4,,,
Devin,Robinson,Florida,2018,200lb,80,Chesterfield,Virginia,8,6.1,3.1,0.8,57.1,0,64.3,57.1,19.4,0.4,,,
Eddie,Robinson,University of Central Oklahoma,1999,210lb,80,Flt,Michigan,278,7,2.7,0.9,50.7,25,73.9,50.9,14,10.2,,,
Wayne,Robinson,Virginia Tech,1980,217lb,80,Greensboro,North Carolina,81,7.9,3.6,1.4,46,0,72.9,46,11.5,1.7,,,
Jalen,Rose,Michigan,1994,210lb,80,Detroit,Michigan,923,14.3,3.5,3.8,44.3,35.5,80.1,47.7,15.3,47.2,,,
Scott,Roth,Wisconsin,1988,212lb,80,Cleveland,Ohio,160,4.7,1.3,1.2,37.5,29.1,73,39.3,10.3,1.1,,,
Dan,Roundfield,Central Michigan University,1975,205lb,80,Detroit,Michigan,813,14.3,9.2,2,48.2,11.1,73.5,48.3,17.9,66.5,,,
Jim,Rowinski,Purdue,1989,250lb,80,Long Island,New York,23,2.5,1.5,0.2,41.7,-,84.4,41.7,13.8,0.3,,,
Donald,Royal,Notre Dame,1989,210lb,80,New Orleans,Louisiana,504,6.3,2.8,1,47.3,0,77,47.3,12.8,19.1,,,
Jeff,Sanders,Georgia Southern University,1989,225lb,80,Augusta,Georgia,55,2,1.9,0.5,39.5,-,60.9,39.5,7.1,-0.1,,,
Dewayne,Scales,LSU,1980,208lb,80,Dallas,Texas,49,4.6,2.9,0.2,41.7,16.7,62.8,41.9,10.9,0.2,,,
Dennis,Scott,Georgia Tech,1990,229lb,80,Hagerstown,Maryland,629,12.9,2.8,2.1,41.7,39.7,79.3,50.2,13.4,33.4,,,
Bruce,Seals,Xavier University of Louisiana,1973,210lb,80,New Orleans,Louisiana,348,8.9,4.2,1,42.3,20.4,67.2,42.6,11.5,7.8,,,
Malik,Sealy,St. John's,1992,190lb,80,Bronx,New York,493,10.1,3.2,1.7,42.6,29.2,80.9,44.4,13.6,17.1,,,
Lonnie,Shelton,Oregon State,1976,240lb,80,Bakersfield,California,673,12,6.1,2.2,49.2,9.7,73.8,49.2,14.2,37.5,,,
Kyle,Singler,Duke,2012,228lb,80,Medford,Oregon,356,6.5,2.9,0.8,41.8,36.2,78.6,49.3,9.5,10,,,
Chris,Singleton,Florida State,2011,230lb,80,Canton,Georgia,148,4.1,3.2,0.6,37.6,31.9,63.3,42.3,8.2,2.3,,,
James,Singleton,Murray State,2005,216lb,80,Chicago,Illinois,243,3.9,3.7,0.4,46.2,29.2,83.3,48.5,14,8.1,,,
Charlie,Sitton,Oregon State,1984,210lb,80,McMnville,Oregon,43,2.1,1.4,0.6,41.5,0,52,41.5,8,0.1,,,
Tamar,Slay,Marshall,2002,215lb,80,Beckley,West Virginia,66,2.6,1.1,0.5,36.1,26.5,53.8,39.4,6.5,-0.3,,,
Labradford,Smith,Alcorn State University,1980,215lb,80,Rollg Fork,Mississippi,883,6.7,9.2,1.1,53.1,0,53.1,53.1,12.6,46,,,
Larry,Smith,Alcorn State University,1980,215lb,80,Rollg Fork,Mississippi,883,6.7,9.2,1.1,53.1,0,53.1,53.1,12.6,46,,,
Theron,Smith,Ball State University,2003,225lb,80,Bartow,Florida,53,2.8,3,0.7,33.5,37.5,83.3,36,6,-0.4,,,
James,Southerland,Syracuse,2013,215lb,80,Queens,New York,4,3.5,2,0,33.3,50,50,43.3,11.8,0,,,
Kebu,Stewart,Cal State-Bakersfield,1997,239lb,80,Brooklyn,New York,15,2.7,2.1,0.1,46.2,-,64,46.2,14,0.2,,,
Larry,Stewart,Coppin State University,1991,220lb,80,Philadelphia,Pennsylvania,270,7.4,4,1.3,50.9,20.5,75.3,51.2,13,9.7,,,
Alex,Stivrins,Colorado,1985,220lb,80,Lcoln,Nebraska,22,2,1,0.2,46.5,0,50,46.5,10.5,-0.1,,,
Derek,Strong,Xavier,1992,220lb,80,Los Angeles,California,456,6.8,4.9,0.6,43,18,78.6,43.2,13.8,18.5,,,
DaJuan,Summers,Georgetown,2009,230lb,80,Baltimore,Maryland,83,3.3,1,0.3,38.4,36.7,64.2,43.8,7.1,-0.1,,,
Michael,Sweetney,Georgetown,2003,275lb,80,Oxon Hill,Maryland,233,6.5,4.5,0.6,48.5,0,68.9,48.5,15.1,7.8,,,
Leonard,Taylor,California,1989,220lb,80,Los Angeles,California,10,1.1,1.2,0.1,0,0,68.8,0,3.8,-0.1,,,
Irving,Thomas,Florida State,1990,225lb,80,Brooklyn,New York,26,1.8,1.2,0.4,34,-,57.1,34,7.3,-0.1,,,
Lance,Thomas,Duke,2011,240lb,80,Brooklyn,New York,392,5.2,2.6,0.7,41.7,38.3,79.7,46.3,8.3,5.4,,,
Corny,Thompson,UConn,1982,225lb,80,Middletown,Connecticut,44,2.8,2.7,0.8,31.4,-,78.3,31.4,6,-0.1,,,
Hollis,Thompson,Georgetown,2013,206lb,80,Pasadena,California,265,7.7,3.1,1.1,41.3,38.6,70.7,51.4,9.6,6.5,,,
Al,Thornton,Florida State,2007,220lb,80,Perry,Georgia,296,11.9,4.2,1.2,45.2,29.3,74.7,46.5,12.3,6.1,,,
Rudy,Tomjanovich,Michigan,1970,218lb,80,Hamtramck,Michigan,768,17.4,8.1,2,50.1,26.2,78.4,50.2,16.9,70.4,,,
Robert,Traylor,Michigan,1999,284lb,80,Detroit,Michigan,438,4.8,3.7,0.7,47.4,16.7,57.7,47.5,14.5,13.3,,,
Gary,Trent Jr.,Ohio University,1995,250lb,80,Columbus,Ohio,506,8.6,4.5,1,50.1,8,64.3,50.1,15.9,23.2,,,
Gary,Trent,Ohio University,1995,250lb,80,Columbus,Ohio,506,8.6,4.5,1,50.1,8,64.3,50.1,15.9,23.2,,,
Al,Tucker,Oklahoma Baptist University,1971,190lb,80,Dayton,Ohio,352,10.1,4.9,1,45.6,37.1,72.7,46.1,13.1,11.1,,,
Alando,Tucker,Oklahoma Baptist University,1971,190lb,80,Dayton,Ohio,352,10.1,4.9,1,45.6,37.1,72.7,46.1,13.1,11.1,,,
Anthony,Tucker,Wake Forest,1994,220lb,80,Washgton,District of Columbia,62,3.9,2.7,1.1,45.7,0,61.4,45.7,9.2,0.6,,,
John,Turner,Phillips University,1991,245lb,80,Washgton,District of Columbia,42,2.8,1.9,0.3,43.9,-,52.5,43.9,7.8,-0.1,,,
Log,Vander Velden,Green Bay,1995,215lb,80,Valders,Wisconsin,15,0.6,0.4,0.1,21.4,0,75,21.4,1.8,-0.1,,,
Kiki,Vandeweghe,UCLA,1980,220lb,80,Wiesbaden,Germany,810,19.7,3.4,2.1,52.5,36.8,87.2,53.4,18.4,75.6,,,
Kemba,Walker,Kentucky,1986,210lb,80,Roberta,Georgia,448,7,4,0.7,48.5,20.6,74.9,48.7,11.9,17.9,,,
Kenny,Walker,Kentucky,1986,210lb,80,Roberta,Georgia,448,7,4,0.7,48.5,20.6,74.9,48.7,11.9,17.9,,,
John,Wallace,Syracuse,1996,225lb,80,Rochester,New York,381,7.6,2.8,0.7,46.2,30,74,46.5,14,6.4,,,
Luke,Walton,Arizona,2003,235lb,80,San Diego,California,564,4.7,2.8,2.3,42.9,32.6,71.5,46.6,11.7,13.5,,,
Jameel,Warney,Stony Brook University,2018,260lb,80,New Brunswick,New Jersey,3,5.7,3,0,58.3,-,60,58.3,22.5,0.1,,,
Julian,Washburn,Texas-El Paso,2019,210lb,80,Duncanville,Texas,18,2.2,2.3,0.8,33.3,20.8,75,38.5,6.5,0.1,,,
